keys,en,it,de,fr
"After a daily Raid entry is used, 50 gems buys one replacement entry for that Raid. The Premium shop offers 35 gems once per UTC day after a rewarded ad; owning the Welcome Premium Pack makes that daily claim instant and ad-free. The one-time pack also grants the hero, equipment, permanent bonuses, and Collect All feature shown on its card, and needs an open roster slot for delivery. The gem counter opens optional Google Play bundles. Purchases may remain pending until Google Play approves payment; delivered entitlements are restored from the store. Advertising consent and the privacy policy are in Settings > Privacy.","After a daily Raid entry is used, 50 gems buys one replacement entry for that Raid. The Premium shop offers 35 gems once per UTC day after a rewarded ad; owning the Welcome Premium Pack makes that daily claim instant and ad-free. The one-time pack also grants the hero, equipment, permanent bonuses, and Collect All feature shown on its card, and needs an open roster slot for delivery. The gem counter opens optional Google Play bundles. Purchases may remain pending until Google Play approves payment; delivered entitlements are restored from the store. Advertising consent and the privacy policy are in Settings > Privacy.","Dopo aver usato l'ingresso giornaliero di un Raid, 50 gemme ne acquistano uno sostitutivo per quel Raid. Il Negozio Premium offre 35 gemme una volta al giorno UTC dopo una pubblicità con ricompensa; possedere il Pacchetto Premium di Benvenuto rende la riscossione giornaliera immediata e senza pubblicità. Il pacchetto, acquistabile una sola volta, concede anche l'eroe, l'equipaggiamento, i bonus permanenti e la funzione Raccogli tutto mostrati sulla scheda e richiede uno spazio libero nell'organico. Il contatore delle gemme apre i pacchetti opzionali di Google Play. Gli acquisti possono restare in sospeso finché Google Play non approva il pagamento; i contenuti consegnati vengono ripristinati dal negozio. Il consenso pubblicitario e l'informativa sulla privacy sono in Impostazioni > Privacy.","Nachdem der tägliche Raid-Zugang verbraucht ist, kaufen 50 Edelsteine einen Ersatzzugang für diesen Raid. Der Premium-Laden bietet einmal pro UTC-Tag 35 Edelsteine nach einer Belohnungswerbung; mit dem Premium-Willkommenspaket ist diese tägliche Abholung sofort und werbefrei. Das einmalige Paket gewährt außerdem den Helden, die Ausrüstung, die dauerhaften Boni und die Funktion Alles einsammeln von seiner Karte und benötigt für die Lieferung einen freien Kaderplatz. Der Edelsteinzähler öffnet optionale Google Play-Pakete. Käufe können ausstehend bleiben, bis Google Play die Zahlung bestätigt; gelieferte Berechtigungen werden aus dem Store wiederhergestellt. Werbeeinwilligung und Datenschutzerklärung findest du unter Einstellungen > Datenschutz.","Une fois l'entrée quotidienne d'un Raid utilisée, 50 gemmes achètent une entrée de remplacement pour ce Raid. La boutique Premium offre 35 gemmes une fois par jour UTC après une publicité avec récompense ; posséder le Pack Premium de Bienvenue rend cette récupération quotidienne instantanée et sans publicité. Le pack unique accorde aussi le héros, l'équipement, les bonus permanents et la fonction Tout récupérer indiqués sur sa carte, et nécessite un emplacement libre dans l'effectif pour la livraison. Le compteur de gemmes ouvre les packs Google Play facultatifs. Les achats peuvent rester en attente jusqu'à ce que Google Play approuve le paiement ; les contenus livrés sont restaurés depuis la boutique. Le consentement publicitaire et la politique de confidentialité se trouvent dans Paramètres > Confidentialité."
"The game saves automatically and keeps a backup of the previous valid local save. Closed-game combat and the sequential crafting queue each advance for at most 12 hours away. Google Play Games provides the profile, achievements, leaderboards, and private cloud progress shown in Settings when the Android service is available. If local and cloud histories diverge, the game asks which one to keep and saves recovery copies. Mail records story objectives and unlock guidance; reading a letter never claims a separate reward.","The game saves automatically and keeps a backup of the previous valid local save. Closed-game combat and the sequential crafting queue each advance for at most 12 hours away. Google Play Games provides the profile, achievements, leaderboards, and private cloud progress shown in Settings when the Android service is available. If local and cloud histories diverge, the game asks which one to keep and saves recovery copies. Mail records story objectives and unlock guidance; reading a letter never claims a separate reward.","Il gioco salva automaticamente e conserva un backup dell'ultimo salvataggio locale valido. Il combattimento a gioco chiuso e la coda di creazione sequenziale avanzano ciascuno per un massimo di 12 ore. Google Play Games fornisce profilo, obiettivi, classifiche e progressi cloud privati mostrati in Impostazioni quando il servizio Android è disponibile. Se le cronologie locale e cloud divergono, il gioco chiede quale conservare e crea copie di recupero. La posta registra obiettivi narrativi e indicazioni sugli sblocchi; leggere una lettera non riscuote alcuna ricompensa separata.","Das Spiel speichert automatisch und behält eine Sicherung des letzten gültigen lokalen Speicherstands. Kampf bei geschlossenem Spiel und die sequenzielle Handwerks-Warteschlange laufen jeweils für höchstens 12 Stunden Abwesenheit weiter. Google Play Games liefert Profil, Erfolge, Bestenlisten und den privaten Cloud-Fortschritt, die in den Einstellungen angezeigt werden, sofern der Android-Dienst verfügbar ist. Weichen lokale und Cloud-Verläufe voneinander ab, fragt das Spiel, welcher behalten werden soll, und legt Wiederherstellungskopien an. Die Post hält Story-Ziele und Freischalthinweise fest; das Lesen eines Briefes holt niemals eine eigene Belohnung ab.","Le jeu enregistre automatiquement et conserve une copie de la dernière sauvegarde locale valide. Le combat jeu fermé et la file d'artisanat séquentielle progressent chacun pendant 12 heures d'absence au maximum. Google Play Games fournit le profil, les succès, les classements et la progression cloud privée affichés dans les Paramètres lorsque le service Android est disponible. Si les historiques local et cloud divergent, le jeu demande lequel conserver et enregistre des copies de récupération. Le courrier consigne les objectifs de l'histoire et les indications de déblocage ; lire une lettre ne réclame jamais de récompense distincte."
"Status icons appear below Health and mana bars during combat. Green icons are helpful buffs, red icons are harmful debuffs, and purple icons track special rules. Inspect an active icon to see its exact strength and remaining turns. Cleanses remove harmful statuses, dispels remove helpful statuses, and Immunity can prevent a harmful status when it is first applied. Regeneration uses separate icons when active skills and healer passives apply it, so each source, strength, and duration remains visible.","Status icons appear below Health and mana bars during combat. Green icons are helpful buffs, red icons are harmful debuffs, and purple icons track special rules. Inspect an active icon to see its exact strength and remaining turns. Cleanses remove harmful statuses, dispels remove helpful statuses, and Immunity can prevent a harmful status when it is first applied. Regeneration uses separate icons when active skills and healer passives apply it, so each source, strength, and duration remains visible.","Le icone di stato appaiono sotto le barre di Salute e mana durante il combattimento. Le icone verdi indicano potenziamenti utili, quelle rosse penalità dannose e quelle viola regole speciali. Esamina un'icona attiva per vedere intensità esatta e turni rimanenti. Le purificazioni rimuovono gli stati dannosi, le dissoluzioni quelli utili e l'Immunità può impedire uno stato dannoso alla prima applicazione. Rigenerazione usa icone separate quando viene applicata da abilità attive e passive dei guaritori, così fonte, intensità e durata restano visibili.","Statussymbole erscheinen im Kampf unter den Lebens- und Manaleisten. Grüne Symbole sind hilfreiche Buffs, rote Symbole schädliche Debuffs, und violette Symbole zeigen Sonderregeln an. Untersuche ein aktives Symbol, um seine genaue Intensität und die verbleibenden Züge zu sehen. Reinigungen entfernen schädliche Zustände, Bannungen entfernen hilfreiche Zustände, und Immunität kann einen schädlichen Zustand bei der ersten Anwendung verhindern. Regeneration nutzt getrennte Symbole, wenn aktive Fähigkeiten und passive Heilerfähigkeiten sie anwenden, sodass Quelle, Intensität und Dauer jeweils sichtbar bleiben.","Les icônes de statut apparaissent sous les barres de Vie et de mana pendant le combat. Les icônes vertes sont des améliorations bénéfiques, les rouges des affaiblissements néfastes, et les violettes suivent des règles spéciales. Inspecte une icône active pour voir sa puissance exacte et les tours restants. Les purifications retirent les statuts néfastes, les dissipations retirent les statuts bénéfiques, et l'Immunité peut empêcher un statut néfaste lors de sa première application. La Régénération utilise des icônes distinctes selon qu'elle provient de compétences actives ou de passifs de guérisseur, afin que la source, la puissance et la durée restent visibles."
"Choose a dungeon to review its enemies and loot. An enemy is revealed when it appears in combat, and a loot entry is revealed as soon as that item drops; it does not need to be collected first.","Choose a dungeon to review its enemies and loot. An enemy is revealed when it appears in combat, and a loot entry is revealed as soon as that item drops; it does not need to be collected first.","Scegli un dungeon per esaminarne nemici e bottino. Un nemico viene svelato quando appare in combattimento e una voce del bottino viene svelata appena l'oggetto viene lasciato, anche prima di raccoglierlo.","Wähle ein Verlies, um seine Gegner und Beute zu prüfen. Ein Gegner wird enthüllt, sobald er im Kampf auftaucht, und ein Beuteeintrag, sobald der Gegenstand fällt; er muss nicht erst eingesammelt werden.","Choisis un donjon pour examiner ses ennemis et son butin. Un ennemi est révélé dès qu'il apparaît en combat, et une entrée de butin dès que l'objet tombe ; il n'a pas besoin d'être récupéré d'abord."
Open %s catalog,Open %s catalog,Apri il catalogo di %s,%s-Katalog öffnen,Ouvrir le catalogue %s
Raid Catalog,Raid Catalog,Catalogo dei raid,Raid-Katalog,Catalogue des raids
"Choose a raid to review its mechanic, enemies, boss, and exclusive rewards. Enemies reveal when they appear in combat, and reward entries reveal as soon as their items drop, even before collection.","Choose a raid to review its mechanic, enemies, boss, and exclusive rewards. Enemies reveal when they appear in combat, and reward entries reveal as soon as their items drop, even before collection.","Scegli un raid per esaminarne meccanica, nemici, boss e ricompense esclusive. I nemici vengono svelati quando appaiono in combattimento e le ricompense appena vengono lasciate, anche prima di raccoglierle.","Wähle einen Raid, um Mechanik, Gegner, Boss und exklusive Belohnungen zu prüfen. Gegner werden enthüllt, sobald sie im Kampf auftauchen, und Belohnungseinträge, sobald ihre Gegenstände fallen, noch vor dem Einsammeln.","Choisis un raid pour examiner sa mécanique, ses ennemis, son boss et ses récompenses exclusives. Les ennemis se révèlent dès qu'ils apparaissent en combat, et les récompenses dès que leurs objets tombent, avant même d'être récupérés."
"%s

Recommended: Career Lv. %s · Tier %s gear

Mechanic: %s","%s

Recommended: Career Lv. %s · Tier %s gear

Mechanic: %s","%s

Consigliato: carriera liv. %s · equipaggiamento grado %s

Meccanica: %s","%s

Empfohlen: Karrierestufe %s · Ausrüstung Grad %s

Mechanik: %s","%s

Recommandé : Niv. de carrière %s · Équipement palier %s

Mécanique : %s"
Boss - %s,Boss - %s,Boss - %s,Boss - %s,Boss - %s
Unknown boss,Unknown boss,Boss sconosciuto,Unbekannter Boss,Boss inconnu
Unknown enemy,Unknown enemy,Nemico sconosciuto,Unbekannter Feind,Ennemi inconnu
Encounter this enemy to reveal it.,Encounter this enemy to reveal it.,Affronta questo nemico per svelarlo.,"Begegne diesem Gegner, um ihn zu enthüllen.",Rencontre cet ennemi pour le révéler.
Loot,Loot,Bottino,Beute,Butin
Raid-exclusive rewards,Raid-exclusive rewards,Ricompense esclusive del raid,Raid-exklusive Belohnungen,Récompenses exclusives aux raids
Boss: 100%,Boss: 100%,Boss: 100%,Boss: 100%,Boss : 100%
"First %s%%+
Dupe %s%%","First %s%%+
Dupe %s%%","Prima copia %s%%+
Duplicati %s%%","Erste %s%%+
Duplikat %s%%","Première %s%%+
Doublon %s%%"
%s - %s drop chance,%s - %s drop chance,%s - probabilità di bottino %s,%s - %s Beutechance,%s - %s de chance de butin
Unknown raid reward,Unknown raid reward,Ricompensa raid sconosciuta,Unbekannte Raid-Belohnung,Récompense de raid inconnue
? chance,? chance,Probabilità ?,? Chance,? chance
View %s,View %s,Visualizza %s,%s ansehen,Voir %s
Move %s up,Move %s up,Sposta %s in alto,%s nach oben,Monter %s
Move %s down,Move %s down,Sposta %s in basso,%s nach unten,Descendre %s
Remove %s from the roster,Remove %s from the roster,Rimuovi %s dall'organico,%s aus dem Kader entfernen,Retirer %s de l'effectif
Stop the active dungeon before removing %s,Stop the active dungeon before removing %s,Ferma il dungeon attivo prima di rimuovere %s,"Beende das aktive Verlies, bevor du %s entfernst",Arrête le donjon en cours avant de retirer %s
Unassigned,Unassigned,Non assegnato,Nicht zugewiesen,Non assigné
"Remove %s from the roster?
Their equipped items and all invested Rune Pieces return to inventory. One tavern slot becomes available. This cannot be undone.","Remove %s from the roster?
Their equipped items and all invested Rune Pieces return to inventory. One tavern slot becomes available. This cannot be undone.","Rimuovere %s dall'organico?
Gli oggetti equipaggiati e tutti i Frammenti runici investiti torneranno nell'inventario. Si libererà un posto nella taverna. L'operazione non può essere annullata.","%s aus dem Kader entfernen?
Die ausgerüsteten Gegenstände und alle investierten Runenfragmente kehren ins Inventar zurück. Ein Tavernenplatz wird frei. Das lässt sich nicht rückgängig machen.","Retirer %s de l'effectif ?
Ses objets équipés et tous les Fragments de rune investis retournent à l'inventaire. Un emplacement de taverne se libère. Cette action est irréversible."
Level %s,Level %s,Livello %s,Stufe %s,Niveau %s
%s class,%s class,Classe %s,Klasse %s,Classe %s
No class is assigned.,No class is assigned.,Nessuna classe assegnata.,Keine Klasse zugewiesen.,Aucune classe n'est assignée.
Choose Ascension,Choose Ascension,Scegli l'Ascensione,Aufstieg wählen,Choisir l'Ascension
Equipment,Equipment,Equipaggiamento,Ausrüstung,Équipement
Attributes,Attributes,Attributi,Attribute,Attributs
"Each hero has six permanent rune tracks. Every upgrade is guaranteed and costs 1 matching raid material: Verdant, Tidal, Astral, then Eclipse Rune Pieces per track. Rune bonuses remain on this hero; removing the hero refunds every invested Rune Piece.","Each hero has six permanent rune tracks. Every upgrade is guaranteed and costs 1 matching raid material: Verdant, Tidal, Astral, then Eclipse Rune Pieces per track. Rune bonuses remain on this hero; removing the hero refunds every invested Rune Piece.","Ogni eroe ha sei percorsi runici permanenti. Ogni potenziamento è garantito e costa 1 materiale da raid corrispondente: Frammenti runici Verdeggianti, Mareali, Astrali e infine dell'Eclissi per ciascun percorso. I bonus restano sull'eroe; rimuoverlo rimborsa ogni Frammento runico investito.","Jeder Held hat sechs dauerhafte Runenpfade. Jede Verbesserung ist garantiert und kostet 1 passendes Raid-Material: pro Pfad Grünende, Gezeiten-, Astral- und schließlich Finsternis-Runenfragmente. Runenboni bleiben bei diesem Helden; wird der Held entfernt, wird jedes investierte Runenfragment erstattet.","Chaque héros dispose de six voies de runes permanentes. Chaque amélioration est garantie et coûte 1 matériau de raid correspondant : Fragments de rune Verdoyants, de Marée, Astraux, puis de l'Éclipse pour chaque voie. Les bonus de rune restent sur ce héros ; le retirer rembourse chaque Fragment de rune investi."
Level,Level,Livello,Stufe,Niveau
MAX,MAX,MAX,MAX,MAX
Experience,Experience,Esperienza,Erfahrung,Expérience
Health,Health,Salute,Leben,Vie
Mana Gain,Mana Gain,Guadagno mana,Mana-Gewinn,Gain de mana
Strength,Strength,Forza,Stärke,Force
Dexterity,Dexterity,Destrezza,Geschicklichkeit,Dextérité
Intelligence,Intelligence,Intelligenza,Intelligenz,Intelligence
Defense,Defense,Difesa,Verteidigung,Défense
Magic Defense,Magic Defense,Difesa magica,Magieverteidigung,Défense magique
Attack,Attack,Attacco,Angriff,Attaque
Damage,Damage,Danno,Schaden,Dégâts
Attack Type,Attack Type,Tipo di attacco,Angriffsart,Type d'attaque
Threat,Threat,Minaccia,Bedrohung,Menace
Evade,Evade,Schivata,Ausweichen,Esquive
Critical Chance,Critical Chance,Probabilità critica,Kritische Chance,Chance critique
Critical Damage,Critical Damage,Danno critico,Kritischer Schaden,Dégâts critiques
Immunity,Immunity,Immunità,Immunität,Immunité
Counter Chance,Counter Chance,Probabilità di contrattacco,Konterchance,Chance de riposte
Counter Damage,Counter Damage,Danno da contrattacco,Konterschaden,Dégâts de riposte
Magic Counter,Magic Counter,Contrattacco magico,Magiekonter,Riposte magique
Lifesteal,Lifesteal,Rubavita,Lebensraub,Vol de vie
Regeneration,Regeneration,Rigenerazione,Regeneration,Régénération
Mist Damage,Mist Damage,Danno da nebbia,Nebelschaden,Dégâts de brume
Mist Reduction,Mist Reduction,Riduzione nebbia,Nebelminderung,Réduction de brume
Healing,Healing,Cure,Heilung,Soins
EXP Rate,EXP Rate,Tasso PE,EXP-Rate,Taux d'EXP
Decay,Decay,Decadimento,Zerfall,Déclin
Active skills trigger automatically when the hero fills their mana meter. Passive skills are always in effect.,Active skills trigger automatically when the hero fills their mana meter. Passive skills are always in effect.,Le abilità attive si attivano automaticamente quando l'eroe riempie la barra del mana. Le abilità passive sono sempre attive.,"Aktive Fähigkeiten lösen automatisch aus, sobald der Held seine Mana-Leiste füllt. Passive Fähigkeiten wirken immer.",Les compétences actives se déclenchent automatiquement lorsque le héros remplit sa jauge de mana. Les compétences passives sont toujours actives.
No item is equipped in this slot.,No item is equipped in this slot.,Nessun oggetto equipaggiato in questo slot.,Auf diesem Platz ist kein Gegenstand ausgerüstet.,Aucun objet n'est équipé dans cet emplacement.
No description available.,No description available.,Nessuna descrizione disponibile.,Keine Beschreibung verfügbar.,Aucune description disponible.
ACTIVE 2/2,ACTIVE 2/2,ATTIVO 2/2,AKTIV 2/2,ACTIF 2/2
INACTIVE 1/2,INACTIVE 1/2,INATTIVO 1/2,INAKTIV 1/2,INACTIF 1/2
ANY crafted weapon from %s,ANY crafted weapon from %s,QUALSIASI arma creata di %s,BELIEBIGE hergestellte Waffe aus %s,N'IMPORTE QUELLE arme fabriquée de %s
"RAID SET · %s
%s
%s
%s","RAID SET · %s
%s
%s
%s","SET RAID · %s
%s
%s
%s","RAID-SET · %s
%s
%s
%s","SET DE RAID · %s
%s
%s
%s"
Equipped,Equipped,Equipaggiato,Ausgerüstet,Équipé
Nothing equipped.,Nothing equipped.,Nessun oggetto equipaggiato.,Nichts ausgerüstet.,Rien d'équipé.
✓ EQUIPPED · %s,✓ EQUIPPED · %s,✓ EQUIPAGGIATO · %s,✓ AUSGERÜSTET · %s,✓ ÉQUIPÉ · %s
Unequip %s,Unequip %s,Rimuovi %s,%s ablegen,Déséquiper %s
Available,Available,Disponibile,Verfügbar,Disponible
No compatible equipment in inventory.,No compatible equipment in inventory.,Nessun equipaggiamento compatibile nell'inventario.,Keine passende Ausrüstung im Inventar.,Aucun équipement compatible dans l'inventaire.
Armor,Armor,Armatura,Rüstung,Armure
Accessory 1,Accessory 1,Accessorio 1,Accessoire 1,Accessoire 1
Accessory 2,Accessory 2,Accessorio 2,Accessoire 2,Accessoire 2
Locked,Locked,Bloccato,Gesperrt,Verrouillé
Complete the previous dungeon story objective,Complete the previous dungeon story objective,Completa l'obiettivo narrativo del dungeon precedente,Schließe das vorherige Story-Ziel des Verlieses ab,Termine l'objectif d'histoire du donjon précédent
Not started,Not started,Non iniziato,Nicht begonnen,Non commencé
Lv %s · T%s gear · from %s,Lv %s · T%s gear · from %s,Liv. %s · equip. G%s · da %s,St. %s · G%s-Ausrüstung · aus %s,Niv. %s · équip. T%s · de %s
Complete,Complete,Completato,Abschließen,Terminer
Lv %s · T%s gear · %s heroes,Lv %s · T%s gear · %s heroes,Liv. %s · equip. G%s · %s eroi,St. %s · G%s-Ausrüstung · %s Helden,Niv. %s · équip. T%s · %s héros
Quest active,Quest active,Missione attiva,Auftrag aktiv,Quête active
Concordance ready,Concordance ready,Concordanza pronta,Konkordanz bereit,Concordance prête
Current trial,Current trial,Prova attuale,Aktuelle Prüfung,Épreuve actuelle
Trial %s/%s - %s,Trial %s/%s - %s,Prova %s/%s - %s,Prüfung %s/%s - %s,Épreuve %s/%s - %s
Craft key -> %s-hero raid,Craft key -> %s-hero raid,Crea chiave -> raid da %s eroi,Schlüssel herstellen -> Raid mit %s Helden,Fabriquer la clé -> raid à %s héros
ready to unlock,ready to unlock,pronto da sbloccare,bereit zum Freischalten,prêt à débloquer
%s/%s objectives,%s/%s objectives,%s/%s obiettivi,%s/%s Ziele,%s/%s objectifs
gather key materials,gather key materials,raccogli i materiali della chiave,Materialien für den Schlüssel sammeln,rassembler les matériaux de la clé
%s | %s,%s | %s,%s | %s,%s | %s,%s | %s
"%s
%s | Boss phase: %s","%s
%s | Boss phase: %s","%s
%s | Fase boss: %s","%s
%s | Bossphase: %s","%s
%s | Phase de boss : %s"
Collect Raid Rewards,Collect Raid Rewards,Raccogli ricompense del raid,Raid-Belohnungen einsammeln,Récupérer les récompenses de raid
Today's entry has been used. The next entry begins at 00:00 UTC.,Today's entry has been used. The next entry begins at 00:00 UTC.,L'ingresso di oggi è stato usato. Il prossimo sarà disponibile alle 00:00 UTC.,Der heutige Eintritt wurde verbraucht. Der nächste Eintritt beginnt um 00:00 UTC.,L'entrée du jour a été utilisée. La prochaine entrée débute à 00:00 UTC.
Refresh Entry,Refresh Entry,Rinnova ingresso,Zutritt erneuern,Renouveler l'entrée
Buy another entry for this raid today.,Buy another entry for this raid today.,Acquista un altro ingresso per questo raid oggi.,Kaufe heute einen weiteren Zugang für diesen Raid.,Achète une autre entrée pour ce raid aujourd'hui.
"Buy another entry for this Raid?

Refresh %s now?","Buy another entry for this Raid?

Refresh %s now?","Acquistare un altro ingresso per questo raid?

Rinnovare subito %s?","Einen weiteren Zugang für diesen Raid kaufen?

%s jetzt auffrischen?","Acheter une autre entrée pour ce Raid ?

Actualiser %s maintenant ?"
"%s

Recommended: Career Lv. %s · Tier %s gear

%s
Formation capacity: up to %s heroes, %s per row
Progress: %s
Successful clears: %s","%s

Recommended: Career Lv. %s · Tier %s gear

%s
Formation capacity: up to %s heroes, %s per row
Progress: %s
Successful clears: %s","%s

Consigliato: carriera liv. %s · equipaggiamento grado %s

%s
Capacità formazione: fino a %s eroi, %s per riga
Progresso: %s
Completamenti riusciti: %s","%s

Empfohlen: Karrierestufe %s · Ausrüstung Grad %s

%s
Formationskapazität: bis zu %s Helden, %s pro Reihe
Fortschritt: %s
Erfolgreiche Abschlüsse: %s","%s

Recommandé : Niv. de carrière %s · Équipement palier %s

%s
Capacité de formation : jusqu'à %s héros, %s par rangée
Progression : %s
Réussites : %s"
"%s

Recommended: Career Lv. %s · Tier %s gear

%s
Formation: exactly 5 heroes and up to 2 companions
Progress: %s
Successful clears: %s","%s

Recommended: Career Lv. %s · Tier %s gear

%s
Formation: exactly 5 heroes and up to 2 companions
Progress: %s
Successful clears: %s","%s

Consigliato: carriera liv. %s · equipaggiamento grado %s

%s
Formazione: esattamente 5 eroi e fino a 2 famigli
Progresso: %s
Completamenti riusciti: %s","%s

Empfohlen: Karrierestufe %s · Ausrüstung Grad %s

%s
Formation: genau 5 Helden und bis zu 2 Begleiter
Fortschritt: %s
Erfolgreiche Abschlüsse: %s","%s

Recommandé : Niv. de carrière %s · Équipement palier %s

%s
Formation : exactement 5 héros et jusqu'à 2 compagnons
Progression : %s
Réussites : %s"
"Abandon Trial
(Free retry)","Abandon Trial
(Free retry)","Abbandona prova
(Nuovo tentativo gratuito)","Prüfung abbrechen
(Kostenloser neuer Versuch)","Abandonner l'épreuve
(Nouvel essai gratuit)"
"Abandon Raid
(Entry stays used)","Abandon Raid
(Entry stays used)","Abbandona raid
(L'ingresso resta usato)","Raid abbrechen
(Zugang bleibt verbraucht)","Abandonner le raid
(L'entrée reste utilisée)"
Free retry,Free retry,Nuovo tentativo gratuito,Gratis-Wiederholung,Nouvel essai gratuit
The raid entry remains consumed,The raid entry remains consumed,L'ingresso al raid resta consumato,Der Raid-Eintritt bleibt verbraucht,L'entrée de raid reste consommée
Raid mechanics,Raid mechanics,Meccaniche del raid,Raid-Mechaniken,Mécaniques de raid
Complete %s to receive this raid's unlock quest.,Complete %s to receive this raid's unlock quest.,Completa %s per ricevere la missione di sblocco di questo raid.,"Schließe %s ab, um den Freischaltauftrag dieses Raids zu erhalten.",Termine %s pour recevoir la quête de déblocage de ce raid.
Raid quest,Raid quest,Missione del raid,Raid-Auftrag,Quête de raid
Objectives,Objectives,Obiettivi,Ziele,Objectifs
Kill %s %s (%s/%s),Kill %s %s (%s/%s),Uccidi %s %s (%s/%s),%s %s töten (%s/%s),Tuer %s %s (%s/%s)
Complete %s marked encounters in %s (%s/%s),Complete %s marked encounters in %s (%s/%s),Completa %s scontri contrassegnati in %s (%s/%s),Schließe %s markierte Begegnungen in %s ab (%s/%s),Termine %s rencontres marquées dans %s (%s/%s)
Quest key,Quest key,Chiave della missione,Auftragsschlüssel,Clé de quête
Craft 1 %s using the requirements below,Craft 1 %s using the requirements below,Crea 1 %s usando i requisiti seguenti,Stelle 1 %s mit den unten stehenden Voraussetzungen her,Fabrique 1 %s avec les conditions ci-dessous
Crafting requirements,Crafting requirements,Requisiti di creazione,Handwerksvoraussetzungen,Conditions d'artisanat
Use %s %s (owned %s/%s),Use %s %s (owned %s/%s),Usa %s %s (posseduti %s/%s),%s %s verwenden (im Besitz %s/%s),Utiliser %s %s (possédés %s/%s)
%s Pay,%s Pay,Paga %s,%s Zahlen,%s Payer
[Done],[Done],[Completato],[Fertig],[Terminé]
Craft Key and Open Raid,Craft Key and Open Raid,Crea la chiave e apri il raid,Schlüssel herstellen und Raid öffnen,Fabriquer la clé et ouvrir le raid
Road to the Last Road - %s/%s trials complete,Road to the Last Road - %s/%s trials complete,Verso l'Ultima Via - %s/%s prove completate,Zum Letzten Weg - %s/%s Prüfungen abgeschlossen,Chemin vers la Dernière Route - %s/%s épreuves terminées
[Current],[Current],[Attuale],[Aktuell],[Actuel]
[Locked],[Locked],[Bloccato],[Gesperrt],[Verrouillé]
"%s %s - %s heroes, %s encounters","%s %s - %s heroes, %s encounters","%s %s - %s eroi, %s scontri","%s %s - %s Helden, %s Begegnungen","%s %s - %s héros, %s rencontres"
Trial,Trial,Prova,Prüfung,Épreuve
Selected,Selected,Selezionata,Ausgewählt,Sélectionné
Practice,Practice,Allenamento,Übung,Entraînement
Select,Select,Seleziona,Wählen,Sélectionner
Assemble the Concordance and Open The Last Road,Assemble the Concordance and Open The Last Road,Assembla la Concordanza e apri l'Ultima Via,Setze die Konkordanz zusammen und öffne den Letzten Weg,Assemble la Concordance et ouvre La Dernière Route
Practice replay,Practice replay,Ripetizione di allenamento,Übungswiederholung,Rejouer l'entraînement
Complete %s,Complete %s,Completa %s,%s abschließen,Terminer %s
Defeat %s,Defeat %s,Sconfiggi %s,%s besiegen,Vaincre %s
One-time preparation,One-time preparation,Preparazione unica,Einmalige Vorbereitung,Préparation unique
%s %s (owned %s/%s),%s %s (owned %s/%s),%s %s (posseduti %s/%s),%s %s (besessen %s/%s),%s %s (possédés %s/%s)
Prepare Trial,Prepare Trial,Prepara prova,Prüfung vorbereiten,Préparer l'épreuve
Trial conditions,Trial conditions,Condizioni della prova,Prüfungsbedingungen,Conditions de l'épreuve
Optional mastery: finish with no hero deaths,Optional mastery: finish with no hero deaths,Maestria facoltativa: termina senza perdite tra gli eroi,Optionale Meisterschaft: ohne Heldenverluste beenden,Maîtrise facultative : termine sans perdre de héros
Physical damage must contribute at least %s%%,Physical damage must contribute at least %s%%,Il danno fisico deve contribuire almeno per il %s%%,Physischer Schaden muss mindestens %s%% beitragen,Les dégâts physiques doivent contribuer pour au moins %s%%
Magic damage must contribute at least %s%%,Magic damage must contribute at least %s%%,Il danno magico deve contribuire almeno per il %s%%,Magieschaden muss mindestens %s%% beitragen,Les dégâts magiques doivent contribuer pour au moins %s%%
Bring heroes from at least %s base class families,Bring heroes from at least %s base class families,Porta eroi di almeno %s famiglie di classi base,Bringe Helden aus mindestens %s Basisklassenfamilien mit,Amène des héros d'au moins %s familles de classes de base
Finish with at least %s surviving heroes,Finish with at least %s surviving heroes,Termina con almeno %s eroi sopravvissuti,Beende den Kampf mit mindestens %s überlebenden Helden,Termine avec au moins %s héros survivants
Build Lastlight to at least %s during the trial,Build Lastlight to at least %s during the trial,Porta Ultimaluce almeno a %s durante la prova,Steigere Letztlicht während der Prüfung auf mindestens %s,Fais monter Dernière lueur à au moins %s pendant l'épreuve
Defeat the required boss without any hero deaths,Defeat the required boss without any hero deaths,Sconfiggi il boss richiesto senza perdite tra gli eroi,Besiege den geforderten Boss ohne Heldenverluste,Vaincs le boss requis sans aucune mort de héros
Defeat the required boss with heroes from 6 class families,Defeat the required boss with heroes from 6 class families,Sconfiggi il boss richiesto con eroi di 6 famiglie di classi,Besiege den geforderten Boss mit Helden aus 6 Klassenfamilien,Vaincs le boss requis avec des héros de 6 familles de classes
"Defeat the required boss with Melee, Ranged, and Magic each dealing at least 20% of the damage","Defeat the required boss with Melee, Ranged, and Magic each dealing at least 20% of the damage","Sconfiggi il boss richiesto facendo infliggere almeno il 20% dei danni a Mischia, Distanza e Magia ciascuno","Besiege den geforderten Boss, wobei Nahkampf, Fernkampf und Magie je mindestens 20% des Schadens verursachen","Vaincs le boss requis en infligeant au moins 20% des dégâts avec chacun des types Mêlée, À distance et Magie"
