keys,en,it,de,fr
A massive keeper that rings a corroded bell to measure every trespass.,A massive keeper that rings a corroded bell to measure every trespass.,Un enorme custode che suona una campana corrosa per misurare ogni intrusione.,"Ein massiger Hüter, der eine zerfressene Glocke läutet, um jedes Eindringen zu bemessen.",Un gardien massif qui sonne une cloche corrodée pour mesurer chaque intrusion.
A massive living root-beast whose wounds close almost as quickly as they open.,A massive living root-beast whose wounds close almost as quickly as they open.,Un'enorme bestia-radice vivente le cui ferite si chiudono quasi alla stessa velocità con cui si aprono.,"Ein massiges lebendes Wurzelbiest, dessen Wunden sich fast so schnell schließen, wie sie aufreißen.",Une bête-racine vivante et massive dont les plaies se referment presque aussi vite qu'elles s'ouvrent.
"A master of broken lenses and lethal, perfectly aligned starfire.","A master of broken lenses and lethal, perfectly aligned starfire.",Un maestro di lenti infrante e letale fuoco stellare perfettamente allineato.,"Ein Meister zerbrochener Linsen und tödlichen, perfekt ausgerichteten Sternenfeuers.","Un maître des lentilles brisées et d'un feu stellaire létal, parfaitement aligné."
A mobile disruptor that weakens the strongest attacker.,A mobile disruptor that weakens the strongest attacker.,Un sabotatore mobile che indebolisce l'attaccante più forte.,"Ein beweglicher Störer, der den stärksten Angreifer schwächt.",Un perturbateur mobile qui affaiblit l'attaquant le plus puissant.
A pale depth-slime whose half-formed body drifts through the elemental mist.,A pale depth-slime whose half-formed body drifts through the elemental mist.,Un pallido slime delle profondità il cui corpo incompleto fluttua nella nebbia elementale.,"Ein blasser Tiefen-Slime, dessen halb geformter Körper durch den Elementarnebel treibt.",Un Slime des profondeurs pâle dont le corps à demi formé dérive dans la brume élémentaire.
A plated prison seal with extreme durability and regeneration.,A plated prison seal with extreme durability and regeneration.,Un sigillo carcerario corazzato dotato di resistenza e rigenerazione estreme.,Ein gepanzertes Kerkersiegel mit extremer Widerstandskraft und Regeneration.,Un sceau de prison cuirassé d'une robustesse et d'une régénération extrêmes.
A plated root guardian that turns patient defense into crushing counters.,A plated root guardian that turns patient defense into crushing counters.,Un guardiano radicale corazzato che trasforma una difesa paziente in contrattacchi devastanti.,"Ein gepanzerter Wurzelwächter, der geduldige Verteidigung in zermalmende Konter verwandelt.",Un gardien racinaire cuirassé qui transforme une défense patiente en ripostes écrasantes.
A quick current-spirit that attacks through armor and vanishes into spray.,A quick current-spirit that attacks through armor and vanishes into spray.,Un rapido spirito della corrente che attraversa le armature con i suoi attacchi e svanisce negli spruzzi.,"Ein schneller Strömungsgeist, der durch Rüstungen hindurch angreift und in Gischt verschwindet.",Un esprit de courant rapide qui frappe à travers l'armure et s'évanouit dans les embruns.
A radiant attacker that steals stored Lastlight.,A radiant attacker that steals stored Lastlight.,Un attaccante radioso che ruba l'Ultimaluce accumulata.,"Ein strahlender Angreifer, der gespeichertes Letztlicht stiehlt.",Un attaquant radieux qui dérobe la Dernière Lueur accumulée.
A ranged predator that accelerates beneath the Ranged sign.,A ranged predator that accelerates beneath the Ranged sign.,Un predatore a distanza che accelera sotto il segno della Distanza.,"Ein Fernkampf-Raubtier, das unter dem Fernkampf-Zeichen beschleunigt.",Un prédateur à distance qui accélère sous le signe À distance.
A razor-winged celestial scout that is difficult to pin down.,A razor-winged celestial scout that is difficult to pin down.,"Un esploratore celestiale dalle ali taglienti, difficile da bloccare.","Ein himmlischer Späher mit Klingenflügeln, der schwer zu fassen ist.","Un éclaireur céleste aux ailes tranchantes, difficile à immobiliser."
A reef-armored defender with immense physical resistance.,A reef-armored defender with immense physical resistance.,Un difensore corazzato di scogliera con un'immensa resistenza fisica.,Ein riffgepanzerter Verteidiger mit gewaltiger physischer Widerstandskraft.,Un défenseur cuirassé de récif doté d'une immense résistance physique.
A refractive depth-slime that splits elemental light through a crystal core.,A refractive depth-slime that splits elemental light through a crystal core.,Uno slime rifrangente delle profondità che scompone la luce elementale attraverso un nucleo cristallino.,"Ein lichtbrechender Tiefen-Slime, der Elementarlicht durch einen Kristallkern zerlegt.",Un Slime des profondeurs réfringent qui décompose la lumière élémentaire à travers un noyau de cristal.
A resilient monastery guardian whose ember strikes build sudden pressure.,A resilient monastery guardian whose ember strikes build sudden pressure.,Un resistente guardiano del monastero i cui colpi di brace generano pressione improvvisa.,"Ein zäher Klosterwächter, dessen Glutschläge plötzlichen Druck aufbauen.",Un gardien de monastère résistant dont les frappes de braise font monter une pression soudaine.
A root oracle that converts living sap into magic and corrosive decay.,A root oracle that converts living sap into magic and corrosive decay.,Un oracolo radicale che converte linfa vivente in magia e Decadimento corrosivo.,"Ein Wurzelorakel, das lebenden Saft in Magie und ätzenden Zerfall verwandelt.",Un oracle racinaire qui convertit la sève vivante en magie et en Déclin corrosif.
A rootbound caster that restores damaged nodes and exposes heroes.,A rootbound caster that restores damaged nodes and exposes heroes.,Un incantatore radicato che ripristina i nodi danneggiati ed espone gli eroi.,"Ein wurzelgebundener Zauberer, der beschädigte Knoten wiederherstellt und Helden bloßstellt.",Un lanceur de sorts lié aux racines qui restaure les nœuds endommagés et expose les héros.
A rotating stone-and-glass construct with balanced magical defenses.,A rotating stone-and-glass construct with balanced magical defenses.,Un costrutto rotante di pietra e vetro dalle difese magiche equilibrate.,Ein rotierendes Konstrukt aus Stein und Glas mit ausgewogener Magieverteidigung.,Une construction rotative de pierre et de verre aux défenses magiques équilibrées.
"A sealed station built for a self-sufficient pair, lit by a hungry and unstable flame.","A sealed station built for a self-sufficient pair, lit by a hungry and unstable flame.","Una stazione sigillata costruita per una coppia autosufficiente, illuminata da una fiamma affamata e instabile.","Ein versiegelter Posten für ein eigenständiges Duo, erhellt von einer hungrigen und unsteten Flamme.","Un poste scellé conçu pour un duo autonome, éclairé par une flamme affamée et instable."
A seer that changes the resistance pattern of its allies.,A seer that changes the resistance pattern of its allies.,Un veggente che modifica lo schema di resistenza dei suoi alleati.,"Ein Seher, der das Resistenzmuster seiner Verbündeten verändert.",Un voyant qui modifie le schéma de résistance de ses alliés.
A shifting woodland overrun by elemental slimes.,A shifting woodland overrun by elemental slimes.,Un bosco mutevole invaso da slime elementali.,"Ein wandelbarer Wald, überrannt von Elementar-Slimes.",Un bois changeant envahi par des Slimes élémentaires.
"A silent cloister of cinder vows, punishing counters, and sudden burst attacks.","A silent cloister of cinder vows, punishing counters, and sudden burst attacks.","Un chiostro silenzioso di voti di brace, contrattacchi punitivi e improvvisi assalti esplosivi.","Ein stiller Kreuzgang aus Glutgelübden, strafenden Kontern und plötzlichen Ausbruchsangriffen.","Un cloître silencieux de vœux de braise, de ripostes punitives et d'attaques explosives soudaines."
A silent prison seal built around counters and punishing burst windows.,A silent prison seal built around counters and punishing burst windows.,Un silenzioso sigillo carcerario basato su contrattacchi e finestre esplosive punitive.,"Ein stilles Kerkersiegel, gebaut auf Konter und strafende Ausbruchsfenster.",Un sceau de prison silencieux bâti sur les ripostes et des fenêtres explosives punitives.
A singing mass of thorns that punishes repeated attack patterns.,A singing mass of thorns that punishes repeated attack patterns.,Una massa canora di spine che punisce gli schemi d'attacco ripetuti.,"Eine singende Dornenmasse, die wiederholte Angriffsmuster bestraft.",Une masse d'épines chantante qui punit les schémas d'attaque répétés.
A slow bruiser that grows stronger while the root network restores it.,A slow bruiser that grows stronger while the root network restores it.,Un combattente lento e massiccio che si rafforza mentre la rete radicale lo ripristina.,"Ein langsamer Schläger, der stärker wird, während das Wurzelnetz ihn wiederherstellt.",Une brute lente qui se renforce tant que le réseau de racines la restaure.
"A slow, resilient slime surrounded by a layer of supernatural frost.","A slow, resilient slime surrounded by a layer of supernatural frost.","Uno slime lento e resistente, avvolto da uno strato di gelo soprannaturale.","Ein langsamer, zäher Slime, umgeben von einer Schicht übernatürlichen Frosts.","Un Slime lent et résistant, entouré d'une couche de givre surnaturel."
A swift moss-coated predator that strikes from the undergrowth.,A swift moss-coated predator that strikes from the undergrowth.,Un rapido predatore coperto di muschio che colpisce dal sottobosco.,"Ein flinkes moosbedecktes Raubtier, das aus dem Unterholz zuschlägt.",Un prédateur agile couvert de mousse qui frappe depuis les fourrés.
A swift vow-bound fighter trained to punish repeated spellcasting.,A swift vow-bound fighter trained to punish repeated spellcasting.,"Un rapido combattente vincolato da un voto, addestrato a punire il lancio ripetuto di incantesimi.","Ein flinker eidgebundener Kämpfer, ausgebildet, wiederholtes Zaubern zu bestrafen.","Un combattant agile lié par un vœu, entraîné à punir les incantations répétées."
A thorn-choked borderland of ironwood beasts and evasive spirits.,A thorn-choked borderland of ironwood beasts and evasive spirits.,"Una terra di confine soffocata dalle spine, popolata da bestie di legnoferro e spiriti elusivi.",Ein von Dornen ersticktes Grenzland aus Eisenholzbestien und ausweichenden Geistern.,"Une marche frontalière étouffée par les ronces, peuplée de bêtes de bois de fer et d'esprits insaisissables."
A three-headed celestial predator attempting to consume the company's constellation.,A three-headed celestial predator attempting to consume the company's constellation.,Un predatore celestiale a tre teste che tenta di divorare la costellazione della compagnia.,"Ein dreiköpfiges himmlisches Raubtier, das das Sternbild der Gesellschaft zu verschlingen versucht.",Un prédateur céleste à trois têtes qui tente de dévorer la constellation de la compagnie.
A towering ironwood sentinel built to endure both blade and spell.,A towering ironwood sentinel built to endure both blade and spell.,Un'imponente sentinella di legnoferro creata per resistere sia alle lame sia agli incantesimi.,"Eine hoch aufragende Eisenholz-Schildwache, gebaut, um Klinge wie Zauber zu überstehen.","Une sentinelle de bois de fer imposante, bâtie pour endurer la lame comme le sort."
A toxic depth vapor held together by gleaming water.,A toxic depth vapor held together by gleaming water.,Un vapore tossico delle profondità tenuto insieme da acqua scintillante.,"Ein giftiger Tiefendampf, zusammengehalten von schimmerndem Wasser.",Une vapeur toxique des profondeurs maintenue par une eau scintillante.
"A vast breeding beast with many eyes, layered hides, and predatory patience.","A vast breeding beast with many eyes, layered hides, and predatory patience.","Un'enorme bestia prolifica dai molti occhi, pelli stratificate e pazienza predatoria.","Ein riesiges Zuchtbiest mit vielen Augen, geschichteten Häuten und räuberischer Geduld.","Une vaste bête reproductrice aux yeux nombreux, aux peaux superposées et à la patience de prédateur."
"A vault predator wrapped around a stolen flame, tuned for a capable duo.","A vault predator wrapped around a stolen flame, tuned for a capable duo.","Un predatore della cripta avvolto attorno a una fiamma rubata, calibrato per una coppia capace.","Ein Gewölbe-Raubtier, um eine gestohlene Flamme gewunden, abgestimmt auf ein fähiges Duo.","Un prédateur de la crypte enroulé autour d'une flamme volée, calibré pour un duo compétent."
A vigilant causeway guard protected by waterlogged plate and old discipline.,A vigilant causeway guard protected by waterlogged plate and old discipline.,"Una guardia vigile della strada, protetta da piastre intrise d'acqua e da un'antica disciplina.","Eine wachsame Dammwache, geschützt von wassergetränkten Platten und alter Disziplin.","Une garde vigilante de la chaussée, protégée par des plaques gorgées d'eau et une vieille discipline."
A volatile slime whose core burns with concentrated elemental heat.,A volatile slime whose core burns with concentrated elemental heat.,Uno slime volatile il cui nucleo arde di calore elementale concentrato.,"Ein unbeständiger Slime, dessen Kern von gebündelter Elementarhitze brennt.",Un Slime instable dont le noyau brûle d'une chaleur élémentaire concentrée.
A wandering forest spirit that binds stray life force into glowing leaves.,A wandering forest spirit that binds stray life force into glowing leaves.,Uno spirito errante della foresta che lega la forza vitale dispersa in foglie luminose.,"Ein wandernder Waldgeist, der verirrte Lebenskraft in glühende Blätter bindet.",Un esprit sylvestre errant qui lie la force vitale égarée en feuilles rougeoyantes.
A Worldroot priest sustaining the enemies of the Last Road.,A Worldroot priest sustaining the enemies of the Last Road.,Un sacerdote della Radice del Mondo che sostiene i nemici dell'Ultima Via.,"Ein Weltwurzel-Priester, der die Feinde des Letzten Wegs stärkt.",Un prêtre de la Racine du Monde qui soutient les ennemis de la Dernière Route.
An agile slime filled with unstable toxins that seep through its surface.,An agile slime filled with unstable toxins that seep through its surface.,Un agile slime colmo di tossine instabili che filtrano attraverso la sua superficie.,"Ein wendiger Slime voller unbeständiger Gifte, die durch seine Oberfläche sickern.",Un Slime agile empli de toxines instables qui suintent à travers sa surface.
An ancient grove that chose to become a colossal walking guardian.,An ancient grove that chose to become a colossal walking guardian.,Un antico bosco che ha scelto di diventare un colossale guardiano semovente.,"Ein uralter Hain, der sich entschied, ein kolossaler wandelnder Wächter zu werden.",Un bosquet antique qui a choisi de devenir un gardien ambulant colossal.
An ancient oak guardian reinforced by iron-rich roots.,An ancient oak guardian reinforced by iron-rich roots.,Un antico guardiano di quercia rinforzato da radici ricche di ferro.,"Ein uralter Eichenwächter, verstärkt durch eisenreiche Wurzeln.",Un antique gardien de chêne renforcé par des racines riches en fer.
"An ancient ruler of an empty court, protected by centuries of prepared defenses.","An ancient ruler of an empty court, protected by centuries of prepared defenses.","Un antico sovrano di una corte vuota, protetto da secoli di difese predisposte.","Ein uralter Herrscher eines leeren Hofes, geschützt von Jahrhunderten vorbereiteter Verteidigung.","Un souverain antique d'une cour vide, protégé par des siècles de défenses préparées."
An arena construct that accelerates the Eclipse Clock.,An arena construct that accelerates the Eclipse Clock.,Un costrutto dell'arena che accelera l'Orologio dell'Eclissi.,"Ein Arenakonstrukt, das die Finsternisuhr beschleunigt.",Une construction de l'arène qui accélère l'Horloge de l'Éclipse.
An evasive celestial hunter pursuing the weakest defense.,An evasive celestial hunter pursuing the weakest defense.,Un elusivo cacciatore celestiale che insegue la difesa più debole.,"Ein ausweichender himmlischer Jäger, der die schwächste Verteidigung verfolgt.",Un chasseur céleste insaisissable qui poursuit la défense la plus faible.
An ironbark defender that intercepts attacks aimed at the root network.,An ironbark defender that intercepts attacks aimed at the root network.,Un difensore di scorzaferrea che intercetta gli attacchi diretti alla rete radicale.,"Ein Eisenrinden-Verteidiger, der auf das Wurzelnetz gerichtete Angriffe abfängt.",Un défenseur d'écorce de fer qui intercepte les attaques dirigées contre le réseau de racines.
"Broken star chambers ruled by glass wings, high evasion, and focused magic.","Broken star chambers ruled by glass wings, high evasion, and focused magic.","Camere stellari infrante dominate da ali di vetro, elevata schivata e magia concentrata.","Zerbrochene Sternenkammern, beherrscht von Glasflügeln, hohem Ausweichen und gebündelter Magie.","Des chambres stellaires brisées, dominées par des ailes de verre, une esquive élevée et une magie concentrée."
Dense elemental chambers where mist shields dangerous mixed groups.,Dense elemental chambers where mist shields dangerous mixed groups.,Dense camere elementali in cui la Nebbia protegge pericolosi gruppi misti.,"Dichte Elementarkammern, in denen Nebel gefährliche gemischte Gruppen abschirmt.",Des chambres élémentaires denses où la Brume protège des groupes mixtes dangereux.
Mineral-heavy mist rolling across the floor of the Depths.,Mineral-heavy mist rolling across the floor of the Depths.,Nebbia carica di minerali che scorre sul pavimento delle Profondità.,"Mineralschwerer Nebel, der über den Boden der Tiefen rollt.",Une brume chargée de minéraux qui roule sur le sol des Profondeurs.
The crowned sovereign of the elemental depths. Its royal core commands every element trapped in the mist.,The crowned sovereign of the elemental depths. Its royal core commands every element trapped in the mist.,Il sovrano incoronato delle profondità elementali. Il suo nucleo regale comanda ogni elemento intrappolato nella nebbia.,Der gekrönte Souverän der elementaren Tiefen. Sein königlicher Kern befehligt jedes im Nebel gefangene Element.,Le souverain couronné des profondeurs élémentaires. Son noyau royal commande chaque élément piégé dans la Brume.
The final living guardian of the Worldroot's deepest chamber.,The final living guardian of the Worldroot's deepest chamber.,L'ultimo guardiano vivente della camera più profonda della Radice del Mondo.,Der letzte lebende Wächter der tiefsten Kammer der Weltwurzel.,L'ultime gardien vivant de la chambre la plus profonde de la Racine du Monde.
"The final road's living eclipse, divided between first dawn and absolute night.","The final road's living eclipse, divided between first dawn and absolute night.","L'eclissi vivente dell'Ultima Via, divisa tra la prima alba e la notte assoluta.","Die lebende Finsternis des Letzten Wegs, geteilt zwischen erstem Morgenrot und absoluter Nacht.","L'éclipse vivante de la dernière route, partagée entre première aube et nuit absolue."
"The monastery's final master, crowned in quiet flame and layered vows.","The monastery's final master, crowned in quiet flame and layered vows.","Il maestro finale del monastero, incoronato da una fiamma silenziosa e voti stratificati.","Der letzte Meister des Klosters, gekrönt von stiller Flamme und geschichteten Gelübden.","L'ultime maître du monastère, couronné d'une flamme silencieuse et de vœux superposés."
"The will inside a drowned bell, given shape by impossible pressure.","The will inside a drowned bell, given shape by impossible pressure.","La volontà racchiusa in una campana sommersa, plasmata da una pressione impossibile.","Der Wille in einer ertrunkenen Glocke, geformt von unmöglichem Druck.","La volonté enfermée dans une cloche noyée, façonnée par une pression impossible."
"Tight root tunnels filled with plated guardians, spores, and relentless renewal.","Tight root tunnels filled with plated guardians, spores, and relentless renewal.","Stretti cunicoli radicali pieni di guardiani corazzati, spore e rinnovamento incessante.","Enge Wurzeltunnel voller gepanzerter Wächter, Sporen und unerbittlicher Erneuerung.","D'étroits tunnels de racines emplis de gardiens cuirassés, de spores et d'un renouvellement implacable."
A bell stroke sends drowning pressure through the party.,A bell stroke sends drowning pressure through the party.,Un rintocco propaga una pressione soffocante attraverso il gruppo.,Ein Glockenschlag jagt erstickenden Druck durch die Gruppe.,Un coup de cloche propage une pression noyante à travers le groupe.
A colossal raid-wide shockwave whose force is shared by the front line.,A colossal raid-wide shockwave whose force is shared by the front line.,Una colossale onda d'urto che investe tutto il Raid e la cui forza viene ripartita sulla prima linea.,"Eine kolossale Schockwelle über den gesamten Raid, deren Wucht die vordere Reihe mitträgt.","Une onde de choc colossale sur tout le Raid, dont la force est partagée par la ligne de front."
A command exposes the whole company to focused punishment.,A command exposes the whole company to focused punishment.,Un comando espone l'intera compagnia a un castigo concentrato.,Ein Befehl setzt die gesamte Gesellschaft gebündelter Bestrafung aus.,Un ordre expose toute la compagnie à un châtiment concentré.
A heavy guarding strike that raises threat and protects linked roots.,A heavy guarding strike that raises threat and protects linked roots.,Un pesante colpo difensivo che aumenta la minaccia e protegge le radici collegate.,"Ein schwerer Schutzschlag, der Bedrohung erhöht und verbundene Wurzeln schützt.",Une frappe défensive lourde qui augmente la Menace et protège les racines liées.
A luminous ranged barrage with increased critical force.,A luminous ranged barrage with increased critical force.,Un luminoso bombardamento a distanza dalla forza critica aumentata.,Ein leuchtendes Fernkampf-Sperrfeuer mit gesteigerter kritischer Wucht.,Un barrage à distance lumineux à la force critique accrue.
A raid-wide flare that strengthens the eclipse.,A raid-wide flare that strengthens the eclipse.,Una vampata che investe tutto il Raid e rafforza l'eclissi.,"Eine Eruption über den gesamten Raid, die die Finsternis stärkt.",Une éruption sur tout le Raid qui renforce l'éclipse.
A root pulse harms intruders and restores living growth.,A root pulse harms intruders and restores living growth.,Un impulso radicale ferisce gli intrusi e ripristina la crescita vivente.,Ein Wurzelimpuls schadet Eindringlingen und stellt lebenden Wuchs wieder her.,Une impulsion racinaire blesse les intrus et restaure la croissance vivante.
A sharp magical burst fueled by the Pressure Gauge.,A sharp magical burst fueled by the Pressure Gauge.,Una violenta esplosione magica alimentata dall'Indicatore di Pressione.,"Ein scharfer Magieausbruch, gespeist von der Druckanzeige.",Une décharge magique aiguë alimentée par la Jauge de Pression.
A sweeping ranged volley followed by a thorny counter stance.,A sweeping ranged volley followed by a thorny counter stance.,Un'ampia raffica a distanza seguita da una posa di contrattacco spinosa.,"Eine weite Fernkampfsalve, gefolgt von einer dornigen Konterhaltung.",Une large salve à distance suivie d'une posture de riposte épineuse.
A temporal shockwave that weakens healing during Total Eclipse.,A temporal shockwave that weakens healing during Total Eclipse.,Un'onda d'urto temporale che indebolisce le cure durante l'Eclissi Totale.,"Eine zeitliche Schockwelle, die die Heilung während der Totalen Finsternis schwächt.",Une onde de choc temporelle qui affaiblit les soins pendant l'Éclipse Totale.
A voidglass ray that exposes one defense while strengthening another.,A voidglass ray that exposes one defense while strengthening another.,Un raggio di vetro del Vuoto che espone una difesa mentre ne rafforza un'altra.,"Ein Leerenglas-Strahl, der eine Verteidigung bloßstellt und eine andere stärkt.",Un rayon de verre du Vide qui expose une défense tout en en renforçant une autre.
Aligns broken lenses into a formation-wide star ray.,Aligns broken lenses into a formation-wide star ray.,Allinea lenti infrante in un raggio stellare che attraversa l'intera formazione.,Richtet zerbrochene Linsen zu einem Sternenstrahl über die gesamte Formation aus.,Aligne des lentilles brisées en un rayon stellaire couvrant toute la formation.
Alternating physical and magical devastation culminating in a lethal eclipse.,Alternating physical and magical devastation culminating in a lethal eclipse.,"Devastazione fisica e magica alternate, culminanti in un'eclissi letale.","Abwechselnde physische und magische Verwüstung, die in einer tödlichen Finsternis gipfelt.","Dévastation physique et magique alternée, culminant en une éclipse létale."
An unavoidable raid-wide toll whose damage rises with pressure.,An unavoidable raid-wide toll whose damage rises with pressure.,Un inevitabile rintocco che investe tutto il Raid e infligge danni crescenti con la Pressione.,"Ein unausweichlicher Glockenschlag über den gesamten Raid, dessen Schaden mit dem Druck steigt.","Un glas inévitable sur tout le Raid, dont les dégâts augmentent avec la Pression."
Blankets the formation in suppressing ash.,Blankets the formation in suppressing ash.,Avvolge la formazione in una cenere soffocante.,Hüllt die Formation in erstickende Asche.,Enveloppe la formation d'une cendre étouffante.
Burrows into the formation and reduces a hero's attack.,Burrows into the formation and reduces a hero's attack.,Scava nella formazione e riduce l'Attacco di un eroe.,Gräbt sich in die Formation und verringert den Angriff eines Helden.,Se creuse dans la formation et réduit l'Attaque d'un héros.
Channels a pressure wave that silences and weakens healing.,Channels a pressure wave that silences and weakens healing.,Canalizza un'onda di Pressione che silenzia e indebolisce le cure.,"Kanalisiert eine Druckwelle, die Stille verhängt und die Heilung schwächt.",Canalise une onde de Pression qui impose le Silence et affaiblit les soins.
Collapses light and shadow across the entire formation.,Collapses light and shadow across the entire formation.,Fa collassare luce e ombra sull'intera formazione.,Lässt Licht und Schatten über die gesamte Formation zusammenstürzen.,Fait s'effondrer lumière et ombre sur toute la formation.
"Cycles through lion, roc, and serpent power before a raid-ending celestial strike.","Cycles through lion, roc, and serpent power before a raid-ending celestial strike.","Alterna il potere del leone, del roc e del serpente prima di un colpo celestiale che pone fine al Raid.","Durchläuft die Kraft von Löwe, Roch und Schlange vor einem himmlischen Schlag, der den Raid beendet.","Alterne les pouvoirs du lion, du roc et du serpent avant une frappe céleste qui met fin au Raid."
Detonates its royal core to strike every hero and leave them vulnerable to the mist.,Detonates its royal core to strike every hero and leave them vulnerable to the mist.,Fa detonare il proprio nucleo regale per colpire ogni eroe e lasciarlo vulnerabile alla Nebbia.,"Zündet seinen königlichen Kern, um jeden Helden zu treffen und ihn anfällig für den Nebel zu machen.",Fait détoner son noyau royal pour frapper chaque héros et le rendre vulnérable à la Brume.
Drains vitality and reinforces its dark shell.,Drains vitality and reinforces its dark shell.,Drena vitalità e rinforza il proprio guscio oscuro.,Entzieht Vitalität und verstärkt seine dunkle Hülle.,Draine la vitalité et renforce sa coque sombre.
Every head strikes a different weakness.,Every head strikes a different weakness.,Ogni testa colpisce una debolezza diversa.,Jeder Kopf trifft eine andere Schwäche.,Chaque tête frappe une faiblesse différente.
Heals an ally and leaves the target vulnerable to the grove.,Heals an ally and leaves the target vulnerable to the grove.,Cura un alleato e lascia il bersaglio vulnerabile al bosco.,Heilt einen Verbündeten und macht das Ziel anfällig für den Hain.,Soigne un allié et rend la cible vulnérable au bosquet.
Overgrows the battlefield with iron roots.,Overgrows the battlefield with iron roots.,Invade il campo di battaglia con radici di ferro.,Überwuchert das Schlachtfeld mit Eisenwurzeln.,Envahit le champ de bataille de racines de fer.
Powerful regeneration that can be answered by decay and focus fire.,Powerful regeneration that can be answered by decay and focus fire.,Una potente rigenerazione contrastabile con Decadimento e fuoco concentrato.,"Mächtige Regeneration, der mit Zerfall und gebündeltem Feuer begegnet werden kann.",Une régénération puissante à laquelle le Déclin et le tir concentré peuvent répondre.
Restores allies and copies an offensive blessing.,Restores allies and copies an offensive blessing.,Ripristina gli alleati e copia una benedizione offensiva.,Stellt Verbündete wieder her und kopiert einen offensiven Segen.,Restaure ses alliés et copie une bénédiction offensive.
Restores allies and leaves the opposing formation vulnerable.,Restores allies and leaves the opposing formation vulnerable.,Ripristina gli alleati e lascia vulnerabile la formazione avversaria.,Stellt Verbündete wieder her und macht die gegnerische Formation verwundbar.,Restaure ses alliés et rend la formation adverse vulnérable.
"Strikes one hero, weighted by Threat, for 125% Attack damage.","Strikes one hero, weighted by Threat, for 125% Attack damage.","Colpisce un eroe, scelto in base alla Minaccia, infliggendo il 125% dell'Attacco come danni.","Trifft einen Helden, gewichtet nach Bedrohung, mit 125% Angriffsschaden.","Frappe un héros, pondéré par la Menace, pour 125% de dégâts d'Attaque."
Strikes the whole formation with ironbound roots.,Strikes the whole formation with ironbound roots.,Colpisce l'intera formazione con radici legate al ferro.,Trifft die gesamte Formation mit eisenbeschlagenen Wurzeln.,Frappe toute la formation de racines cerclées de fer.
A Forest Falls,A Forest Falls,Una Foresta Crolla,Ein Wald fällt,Une forêt s'effondre
Barkmend,Barkmend,Rammendo della Corteccia,Rindenheilung,Guérison d'écorce
Bellstroke,Bellstroke,Rintocco,Glockenschlag,Coup de cloche
Blackwater Toll,Blackwater Toll,Rintocco delle Acque Nere,Schwarzwasser-Glockenschlag,Glas des Eaux Noires
Briar Chorus,Briar Chorus,Coro di Rovi,Dornenchorus,Chœur des ronces
Comet Volley,Comet Volley,Raffica di Comete,Kometensalve,Volée de comètes
Compression Spark,Compression Spark,Scintilla di Compressione,Kompressionsfunke,Étincelle de Compression
Convergence,Convergence,Convergenza,Konvergenz,Convergence
Crown of Sap,Crown of Sap,Corona di Linfa,Krone des Safts,Couronne de sève
Devour the Light,Devour the Light,Divora la Luce,Verschlinge das Licht,Dévorer la Lumière
Devour the Pattern,Devour the Pattern,Divora lo Schema,Verschlinge das Muster,Dévorer le Schéma
Drowned Hymn,Drowned Hymn,Inno Sommerso,Ertrunkene Hymne,Hymne noyé
Eventide Collapse,Eventide Collapse,Collasso del Vespro,Abendkollaps,Effondrement du Soir
Ferrum Overgrowth,Ferrum Overgrowth,Crescita Incontenibile di Ferrum,Ferrum-Überwucherung,Prolifération de Ferrum
Flame Burst,Flame Burst,Esplosione di Fiamma,Flammenausbruch,Explosion de flammes
Frost Pulse,Frost Pulse,Impulso Gelido,Frostimpuls,Impulsion de givre
Heartbeat,Heartbeat,Battito del Cuore,Herzschlag,Battement de cœur
Invert Pattern,Invert Pattern,Inverti Schema,Muster umkehren,Inverser le Schéma
Light Theft,Light Theft,Furto di Luce,Lichtraub,Vol de lumière
Manyfold Hunger,Manyfold Hunger,Fame Molteplice,Vielfacher Hunger,Faim Multiple
No Road Remains,No Road Remains,Non Resta Alcuna Via,Kein Weg bleibt,Nulle Route ne Demeure
Raise the Black Tide,Raise the Black Tide,Solleva la Marea Nera,Erhebe die schwarze Flut,Lever la Marée Noire
Regent's Decree,Regent's Decree,Decreto del Reggente,Dekret des Regenten,Décret du Régent
Root Gnaw,Root Gnaw,Rosicchiamento Radicale,Wurzelnagen,Rongement des racines
Root Intercept,Root Intercept,Intercetto Radicale,Wurzelabfangen,Interception Racinaire
Royal Slimequake,Royal Slimequake,Slimesisma Regale,Königliches Slimebeben,Séisme de Slime Royal
Silent Cinder,Silent Cinder,Brace Silenziosa,Stille Glut,Braise silencieuse
Stitch the Stars,Stitch the Stars,Ricuci le Stelle,Nähe die Sterne zusammen,Coudre les Étoiles
Stone Slam,Stone Slam,Schianto di Pietra,Steinschlag,Fracas de pierre
Toxic Splash,Toxic Splash,Spruzzo Tossico,Giftspritzer,Éclaboussure toxique
Turn the Clock,Turn the Clock,Gira l'Orologio,Drehe die Uhr,Tourner l'Horloge
Warden's Reckoning,Warden's Reckoning,Resa dei Conti del Guardiano,Abrechnung des Warts,Jugement du Gardien
A hardened layer of frost protects its core.,A hardened layer of frost protects its core.,Uno strato di gelo indurito protegge il suo nucleo.,Eine gehärtete Frostschicht schützt seinen Kern.,Une couche de givre durci protège son noyau.
