keys,en,it,de,fr
"The residue carried home by your heroes has begun to sing. Beneath the Slime Forest, roots have drawn apart to expose the Elemental Depths. The mist inside bends sight and shields its inhabitants. At the heart of those chambers waits the Slime King, wearing a crown made from the same power that is swallowing the roads.","The residue carried home by your heroes has begun to sing. Beneath the Slime Forest, roots have drawn apart to expose the Elemental Depths. The mist inside bends sight and shields its inhabitants. At the heart of those chambers waits the Slime King, wearing a crown made from the same power that is swallowing the roads.","Il residuo portato a casa dai tuoi eroi ha iniziato a cantare. Sotto la Foresta degli Slime, le radici si sono separate rivelando le Profondità Elementali. La Nebbia al loro interno piega la vista e protegge gli abitanti. Nel cuore di quelle camere attende il Re degli Slime, con una corona forgiata dallo stesso potere che sta inghiottendo le strade.","Der Rückstand, den deine Helden heimgebracht haben, hat zu singen begonnen. Unter dem Slime-Wald haben sich Wurzeln geteilt und die Elementartiefen freigelegt. Der Nebel darin verbiegt die Sicht und schirmt seine Bewohner ab. Im Herzen jener Kammern wartet der Slime-König, der eine Krone aus derselben Macht trägt, die die Straßen verschlingt.","Le résidu rapporté par tes héros s'est mis à chanter. Sous la Forêt des slimes, des racines se sont écartées pour dégager les Profondeurs élémentaires. La brume qui s'y trouve déforme la vue et protège ses habitants. Au cœur de ces salles attend le Roi des slimes, coiffé d'une couronne façonnée dans le pouvoir même qui engloutit les routes."
This relic rings without sound and clears corruption from those nearest its bearer.,This relic rings without sound and clears corruption from those nearest its bearer.,Questa reliquia suona senza emettere alcun rumore e purifica dalla corruzione chi si trova più vicino al suo portatore.,"Dieses Relikt läutet ohne Klang und reinigt jene, die seinem Träger am nächsten sind, von Verderbnis.",Cette relique sonne sans bruit et purifie de la corruption ceux qui se trouvent au plus près de son porteur.
Veyra failed to consume the company's pattern. Its fallen prism can reshape Chimeric weapons into six advanced variants.,Veyra failed to consume the company's pattern. Its fallen prism can reshape Chimeric weapons into six advanced variants.,Veyra non è riuscita a divorare lo schema della compagnia. Il suo prisma caduto può rimodellare le armi Chimeriche in sei varianti avanzate.,"Veyra gelang es nicht, das Muster der Kompanie zu verschlingen. Ihr gefallenes Prisma kann Chimärische Waffen in sechs fortgeschrittene Varianten umformen.",Veyra n'a pas réussi à dévorer le motif de la compagnie. Son prisme déchu peut remodeler les armes chimériques en six variantes avancées.
"When the Slime King's crown broke, every shard turned toward the west. A forgotten road has appeared at Forest Edge, where iron, thorn, and old magic have grown together. This was no random infestation: something deeper in the wilds has been guiding the creatures toward Emberrest. Your heroes have found the first true trail.","When the Slime King's crown broke, every shard turned toward the west. A forgotten road has appeared at Forest Edge, where iron, thorn, and old magic have grown together. This was no random infestation: something deeper in the wilds has been guiding the creatures toward Emberrest. Your heroes have found the first true trail.","Quando la corona del Re degli Slime si è spezzata, ogni frammento si è rivolto a occidente. Una via dimenticata è apparsa al Margine della Foresta, dove ferro, spine e antica magia sono cresciuti insieme. Non era un'infestazione casuale: qualcosa di più profondo nelle terre selvagge ha guidato le creature verso Emberrest. I tuoi eroi hanno trovato la prima vera traccia.","Als die Krone des Slime-Königs zerbrach, wandte sich jeder Splitter nach Westen. Am Waldrand ist eine vergessene Straße erschienen, wo Eisen, Dornen und alte Magie zusammengewachsen sind. Das war kein zufälliger Befall: Etwas tiefer in der Wildnis lenkt die Kreaturen auf Emberrest zu. Deine Helden haben die erste echte Spur gefunden.","Quand la couronne du Roi des slimes s'est brisée, chaque éclat s'est tourné vers l'ouest. Une route oubliée est apparue à la Lisière de la forêt, là où le fer, les épines et la vieille magie ont poussé ensemble. Ce n'était pas une infestation due au hasard : quelque chose de plus profond dans les terres sauvages guide les créatures vers Emberrest. Tes héros ont trouvé la première piste véritable."
All runway trials are complete. Assemble the Concordance from The Last Road panel to unlock its daily raid entry.,All runway trials are complete. Assemble the Concordance from The Last Road panel to unlock its daily raid entry.,Tutte le prove sono complete. Assembla la Concordanza dal pannello dell'Ultima Via per sbloccare il relativo ingresso giornaliero al raid.,"Alle Prüfungen sind abgeschlossen. Stelle die Konkordanz im Bereich des Letzten Weges zusammen, um seinen täglichen Raid-Eintritt freizuschalten.",Toutes les épreuves sont terminées. Assemble la Concordance depuis le panneau de la Dernière Route pour débloquer son entrée de raid quotidienne.
Ashen Monastery is now available. Recover its seal before the remaining guardians are consumed.,Ashen Monastery is now available. Recover its seal before the remaining guardians are consumed.,Il Monastero delle Ceneri è ora disponibile. Recupera il suo sigillo prima che i guardiani rimasti vengano consumati.,"Das Aschenkloster ist nun verfügbar. Hole sein Siegel zurück, bevor die verbliebenen Wächter verzehrt werden.",Le Monastère des cendres est désormais disponible. Récupère son sceau avant que les Gardiens restants ne soient dévorés.
Bell of the Lightless Deep is unique-equipped: one copy per hero.,Bell of the Lightless Deep is unique-equipped: one copy per hero.,La Campana dell'Abisso Senza Luce è un accessorio unico: una sola copia equipaggiabile per eroe.,Die Glocke der Lichtlosen Tiefe ist einzigartig ausrüstbar: nur ein Exemplar pro Held.,La Cloche des Profondeurs sans lumière est un équipement unique : un seul exemplaire par héros.
Broken Sky recipes are now visible in Crafting.,Broken Sky recipes are now visible in Crafting.,Le ricette del Cielo Infranto sono ora visibili in Creazione.,Die Rezepte des Zerbrochenen Himmels sind nun im Handwerk sichtbar.,Les recettes du Ciel brisé sont désormais visibles dans l'Artisanat.
"Crownless Citadel is now available. Defeat its three lieutenants, then prepare a full formation for the Regent.","Crownless Citadel is now available. Defeat its three lieutenants, then prepare a full formation for the Regent.","La Cittadella Senza Corona è ora disponibile. Sconfiggi i suoi tre luogotenenti, poi prepara una formazione completa per il Reggente.",Die Kronlose Zitadelle ist nun verfügbar. Besiege ihre drei Leutnants und stelle dann eine vollständige Formation für den Regenten auf.,"La Citadelle sans couronne est désormais disponible. Vaincs ses trois lieutenants, puis prépare une formation complète pour le Régent."
Eclipse Throne is now available. Finish current-tier gear and prepare several party options for its mixed encounters.,Eclipse Throne is now available. Finish current-tier gear and prepare several party options for its mixed encounters.,Il Trono dell'Eclissi è ora disponibile. Completa l'equipaggiamento del grado attuale e prepara diverse composizioni del gruppo per i suoi scontri misti.,Der Finsternisthron ist nun verfügbar. Vervollständige die Ausrüstung des aktuellen Grades und bereite mehrere Gruppenaufstellungen für seine gemischten Begegnungen vor.,Le Trône de l'éclipse est désormais disponible. Termine l'équipement du palier actuel et prépare plusieurs compositions de groupe pour ses rencontres mixtes.
"Eclipse Throne remains the best high-level farm. Every earlier dungeon remains open for training, materials, and alternate parties.","Eclipse Throne remains the best high-level farm. Every earlier dungeon remains open for training, materials, and alternate parties.","Il Trono dell'Eclissi rimane il luogo migliore per ottenere risorse ad alto livello. Tutti i dungeon precedenti restano aperti per allenamento, materiali e gruppi alternativi.","Der Finsternisthron bleibt der beste Ort zum Farmen auf hoher Stufe. Alle früheren Verliese bleiben für Training, Materialien und alternative Gruppen offen.","Le Trône de l'éclipse reste le meilleur endroit pour farmer à haut niveau. Tous les donjons précédents restent ouverts pour l'entraînement, les matériaux et les groupes alternatifs."
"Elemental Depths is now available. Send up to three prepared heroes, watch the changing mist, and defeat the Slime King to uncover the road to Forest Edge.","Elemental Depths is now available. Send up to three prepared heroes, watch the changing mist, and defeat the Slime King to uncover the road to Forest Edge.","Le Profondità Elementali sono ora disponibili. Invia fino a tre eroi preparati, osserva la Nebbia mutevole e sconfiggi il Re degli Slime per scoprire la via verso il Margine della Foresta.","Die Elementartiefen sind nun verfügbar. Schicke bis zu drei vorbereitete Helden hinein, beobachte den wechselnden Nebel und besiege den Slime-König, um die Straße zum Waldrand freizulegen.","Les Profondeurs élémentaires sont désormais disponibles. Envoie jusqu'à trois héros préparés, observe la brume changeante et vaincs le Roi des slimes pour révéler la route vers la Lisière de la forêt."
"Forest Edge is now available. Strengthen your three-hero team, gather materials from its beasts, and defeat the Ironbark Warden.","Forest Edge is now available. Strengthen your three-hero team, gather materials from its beasts, and defeat the Ironbark Warden.","Il Margine della Foresta è ora disponibile. Rafforza la tua squadra di tre eroi, raccogli materiali dalle sue bestie e sconfiggi il Guardiano Scorzaferrea.","Der Waldrand ist nun verfügbar. Stärke dein Dreierteam, sammle Materialien von seinen Bestien und besiege den Eisenrinden-Wächter.","La Lisière de la forêt est désormais disponible. Renforce ton équipe de trois héros, récolte des matériaux sur ses bêtes et vaincs le Gardien d'écorce de fer."
Heart of the Marching Grove is unique-equipped: one copy per hero.,Heart of the Marching Grove is unique-equipped: one copy per hero.,Il Cuore del Bosco in Marcia è un accessorio unico: una sola copia equipaggiabile per eroe.,Das Herz des Marschierenden Hains ist einzigartig ausrüstbar: nur ein Exemplar pro Held.,Le Cœur du Bosquet en marche est un équipement unique : un seul exemplaire par héros.
Hunt of the Broken Sky is unlocked with one entry per UTC day for a party of up to 12 heroes. The entry is consumed when the Raid starts.,Hunt of the Broken Sky is unlocked with one entry per UTC day for a party of up to 12 heroes. The entry is consumed when the Raid starts.,La Caccia del Cielo Infranto è sbloccata con un ingresso per ogni giorno UTC per un gruppo di massimo 12 eroi. L'ingresso viene consumato all'avvio del Raid.,"Die Jagd des Zerbrochenen Himmels ist freigeschaltet, mit einem Eintritt pro UTC-Tag für eine Gruppe von bis zu 12 Helden. Der Eintritt wird verbraucht, sobald der Raid beginnt.",La Chasse du Ciel brisé est débloquée avec une entrée par jour UTC pour un groupe de 12 héros maximum. L'entrée est consommée au lancement du Raid.
"Ironroot Warrens is now available. Bring mixed damage and anti-regeneration tools, then craft Rootsteel equipment.","Ironroot Warrens is now available. Bring mixed damage and anti-regeneration tools, then craft Rootsteel equipment.","I Cunicoli di Radiceferrea sono ora disponibili. Porta danni misti e strumenti anti-rigenerazione, poi crea equipaggiamento d'Acciaioradice.",Die Eisenwurzel-Gänge sind nun verfügbar. Bring gemischten Schaden und Mittel gegen Regeneration mit und fertige dann Wurzelstahl-Ausrüstung.,"Les Terriers de racine de fer sont désormais disponibles. Apporte des dégâts mixtes et des outils anti-régénération, puis fabrique de l'équipement en acier-racine."
Lantern Vault is now available for a party of up to two heroes. Form a self-sufficient duo with complementary damage and sustain.,Lantern Vault is now available for a party of up to two heroes. Form a self-sufficient duo with complementary damage and sustain.,La Cripta della Lanterna è ora disponibile per un gruppo di massimo due eroi. Forma una coppia autosufficiente con danni e tenuta complementari.,Die Laternengruft ist nun für eine Gruppe von bis zu zwei Helden verfügbar. Stelle ein eigenständiges Duo mit ergänzendem Schaden und Durchhaltevermögen zusammen.,La Crypte de la lanterne est désormais disponible pour un groupe de deux héros maximum. Forme un duo autonome aux dégâts et au soutien complémentaires.
Last Road recipes are now visible in Crafting.,Last Road recipes are now visible in Crafting.,Le ricette dell'Ultima Via sono ora visibili in Creazione.,Die Rezepte des Letzten Weges sind nun im Handwerk sichtbar.,Les recettes de la Dernière Route sont désormais visibles dans l'Artisanat.
Lightless Armada recipes are now visible in Crafting.,Lightless Armada recipes are now visible in Crafting.,Le ricette dell'Armata Senza Luce sono ora visibili in Creazione.,Die Rezepte der Lichtlosen Armada sind nun im Handwerk sichtbar.,Les recettes de l'Armada sans lumière sont désormais visibles dans l'Artisanat.
March of the Rootbound is unlocked with one entry per UTC day for a party of up to 8 heroes. The entry is consumed when the Raid starts.,March of the Rootbound is unlocked with one entry per UTC day for a party of up to 8 heroes. The entry is consumed when the Raid starts.,La Marcia dei Radicati è sbloccata con un ingresso per ogni giorno UTC per un gruppo di massimo 8 eroi. L'ingresso viene consumato all'avvio del Raid.,"Der Marsch der Wurzelgebundenen ist freigeschaltet, mit einem Eintritt pro UTC-Tag für eine Gruppe von bis zu 8 Helden. Der Eintritt wird verbraucht, sobald der Raid beginnt.",La Marche des Enracinés est débloquée avec une entrée par jour UTC pour un groupe de 8 héros maximum. L'entrée est consommée au lancement du Raid.
March of the Rootbound recipes are now visible in Crafting.,March of the Rootbound recipes are now visible in Crafting.,Le ricette della Marcia dei Radicati sono ora visibili in Creazione.,Die Rezepte des Marsches der Wurzelgebundenen sind nun im Handwerk sichtbar.,Les recettes de la Marche des Enracinés sont désormais visibles dans l'Artisanat.
Next objective: lead up to 4 heroes into Slime Forest and defeat 425 monsters. Loot can be collected at any time without stopping the expedition.,Next objective: lead up to 4 heroes into Slime Forest and defeat 425 monsters. Loot can be collected at any time without stopping the expedition.,Prossimo obiettivo: guida fino a 4 eroi nella Foresta degli Slime e sconfiggi 425 mostri. Il bottino può essere raccolto in qualsiasi momento senza interrompere la spedizione.,"Nächstes Ziel: Führe bis zu 4 Helden in den Slime-Wald und besiege 425 Monster. Beute kann jederzeit eingesammelt werden, ohne die Expedition zu unterbrechen.",Prochain objectif : mène jusqu'à 4 héros dans la Forêt des slimes et vaincs 425 monstres. Le butin peut être récupéré à tout moment sans interrompre l'expédition.
"Open a hero's Runes tab to upgrade Attack, Health, Evade, Critical Chance, Defense, or Magic Defense. Every valid rune upgrade succeeds with 100% certainty.","Open a hero's Runes tab to upgrade Attack, Health, Evade, Critical Chance, Defense, or Magic Defense. Every valid rune upgrade succeeds with 100% certainty.","Apri la scheda Rune di un eroe per potenziare Attacco, Salute, Schivata, Probabilità critica, Difesa o Difesa magica. Ogni potenziamento runico valido riesce con una certezza del 100%.","Öffne den Runen-Reiter eines Helden, um Angriff, Leben, Ausweichen, Kritische Chance, Verteidigung oder Magieverteidigung zu verbessern. Jede gültige Runenverbesserung gelingt mit 100 % Sicherheit.","Ouvre l'onglet Runes d'un héros pour améliorer l'Attaque, la Vie, l'Esquive, la Chance critique, la Défense ou la Défense magique. Toute amélioration de rune valide réussit avec une certitude de 100 %."
Raid quest available: A Lantern Below the Tide. Complete its two boss objectives and assemble the Depth-Lantern.,Raid quest available: A Lantern Below the Tide. Complete its two boss objectives and assemble the Depth-Lantern.,Missione del raid disponibile: Una Lanterna Sotto la Marea. Completa i due obiettivi dei boss e assembla la Lanterna delle Profondità.,Raid-Auftrag verfügbar: Eine Laterne unter der Flut. Erfülle seine beiden Boss-Ziele und setze die Tiefenlaterne zusammen.,Quête de raid disponible : Une lanterne sous la marée. Accomplis ses deux objectifs de boss et assemble la Lanterne des profondeurs.
"Raid quest available: The Constellation Hunt. Complete its listed encounters, boss kills, materials, and coin requirements, then craft the Hunter's Star Chart.","Raid quest available: The Constellation Hunt. Complete its listed encounters, boss kills, materials, and coin requirements, then craft the Hunter's Star Chart.","Missione del raid disponibile: Caccia alla Costellazione. Completa gli scontri, le uccisioni dei boss e i requisiti di materiali e monete elencati, poi crea la Carta Stellare del Cacciatore.","Raid-Auftrag verfügbar: Die Sternbildjagd. Erfülle die aufgeführten Anforderungen an Begegnungen, Boss-Siege, Materialien und Münzen und fertige dann die Sternenkarte des Jägers.","Quête de raid disponible : La Chasse à la constellation. Remplis les conditions listées en rencontres, éliminations de boss, matériaux et pièces, puis fabrique la Carte stellaire du chasseur."
"Raid quest available: The Four Roots Answer. Complete its listed Forest Edge signs, boss, material, and coin requirements, then craft the Fourfold Root Key.","Raid quest available: The Four Roots Answer. Complete its listed Forest Edge signs, boss, material, and coin requirements, then craft the Fourfold Root Key.","Missione del raid disponibile: Le Quattro Radici Rispondono. Completa i segnali elencati al Margine della Foresta e i requisiti di boss, materiali e monete, poi crea la Chiave della Quadruplice Radice.","Raid-Auftrag verfügbar: Die vier Wurzeln antworten. Erfülle die aufgeführten Anforderungen an Zeichen am Waldrand, Boss, Materialien und Münzen und fertige dann den Vierfachen Wurzelschlüssel.","Quête de raid disponible : Les Quatre Racines répondent. Remplis les conditions listées en signes de la Lisière de la forêt, boss, matériaux et pièces, puis fabrique la Clé des quatre racines."
"Shattered Observatory is now available. Bring Evade Down, sturdy Magic Defense, and reliable physical damage.","Shattered Observatory is now available. Bring Evade Down, sturdy Magic Defense, and reliable physical damage.","L'Osservatorio Infranto è ora disponibile. Porta Schivata ridotta, una solida Difesa magica e danni fisici affidabili.","Das Zerschmetterte Observatorium ist nun verfügbar. Bring Ausweichen verringert, solide Magieverteidigung und verlässlichen physischen Schaden mit.","L'Observatoire brisé est désormais disponible. Apporte de l'Esquive réduite, une solide Défense magique et des dégâts physiques fiables."
Signet of the Last Road is unique-equipped: one copy per hero.,Signet of the Last Road is unique-equipped: one copy per hero.,Il Sigillo dell'Ultima Via è un accessorio unico: una sola copia equipaggiabile per eroe.,Der Siegelring des Letzten Wegs ist einzigartig ausrüstbar: nur ein Exemplar pro Held.,Le Sceau de la Dernière Route est un équipement unique : un seul exemplaire par héros.
"Sunken Causeway is now available. Prepare sustain, cleansing, and heroes built for long battles.","Sunken Causeway is now available. Prepare sustain, cleansing, and heroes built for long battles.","La Strada Sommersa è ora disponibile. Prepara fonti di tenuta e purificazione, insieme a eroi costruiti per lunghe battaglie.","Der Versunkene Dammweg ist nun verfügbar. Sorge für Durchhaltevermögen, Reinigung und Helden, die für lange Kämpfe gebaut sind.","La Chaussée engloutie est désormais disponible. Prépare du soutien, de la Purification et des héros conçus pour les longs combats."
The Broken Mile is complete. Continue the campaign through Worldroot Heart to reveal the Root-Crowned Span.,The Broken Mile is complete. Continue the campaign through Worldroot Heart to reveal the Root-Crowned Span.,Il Miglio Infranto è completo. Prosegui la campagna attraverso il Cuore della Radice del Mondo per rivelare la Campata dalla Corona di Radici.,"Die Zerbrochene Meile ist abgeschlossen. Setze die Kampagne durch das Weltwurzelherz fort, um die Wurzelgekrönte Brücke freizulegen.",Le Mille brisé est terminé. Poursuis la campagne à travers le Cœur de la Racine du Monde pour révéler la Travée couronnée de racines.
The Last Road is unlocked with one entry per UTC day for a party of up to 12 heroes. The entry is consumed when the Raid starts.,The Last Road is unlocked with one entry per UTC day for a party of up to 12 heroes. The entry is consumed when the Raid starts.,L'Ultima Via è sbloccata con un ingresso per ogni giorno UTC per un gruppo di massimo 12 eroi. L'ingresso viene consumato all'avvio del Raid.,"Der Letzte Weg ist freigeschaltet, mit einem Eintritt pro UTC-Tag für eine Gruppe von bis zu 12 Helden. Der Eintritt wird verbraucht, sobald der Raid beginnt.",La Dernière Route est débloquée avec une entrée par jour UTC pour un groupe de 12 héros maximum. L'entrée est consommée au lancement du Raid.
The Lightless Armada is unlocked with one entry per UTC day for a party of up to 8 heroes. The entry is consumed when the Raid starts.,The Lightless Armada is unlocked with one entry per UTC day for a party of up to 8 heroes. The entry is consumed when the Raid starts.,L'Armata Senza Luce è sbloccata con un ingresso per ogni giorno UTC per un gruppo di massimo 8 eroi. L'ingresso viene consumato all'avvio del Raid.,"Die Lichtlose Armada ist freigeschaltet, mit einem Eintritt pro UTC-Tag für eine Gruppe von bis zu 8 Helden. Der Eintritt wird verbraucht, sobald der Raid beginnt.",L'Armada sans lumière est débloquée avec une entrée par jour UTC pour un groupe de 8 héros maximum. L'entrée est consommée au lancement du Raid.
The Road to the Last Road begins after Crownless Citadel. Complete three progression-locked trials; preparation is paid once and retries never consume a daily entry.,The Road to the Last Road begins after Crownless Citadel. Complete three progression-locked trials; preparation is paid once and retries never consume a daily entry.,Il viaggio verso l'Ultima Via inizia dopo la Cittadella Senza Corona. Completa tre prove vincolate alla progressione; la preparazione si paga una sola volta e i nuovi tentativi non consumano mai un ingresso giornaliero.,"Der Weg zum Letzten Weg beginnt nach der Kronlosen Zitadelle. Bestehe drei fortschrittsgebundene Prüfungen; die Vorbereitung wird nur einmal bezahlt, und Wiederholungen verbrauchen nie einen täglichen Eintritt.",Le chemin vers la Dernière Route commence après la Citadelle sans couronne. Accomplis trois épreuves liées à la progression ; la préparation ne se paie qu'une fois et les nouvelles tentatives ne consomment jamais d'entrée quotidienne.
The Root-Crowned Span is complete. Defeat the Hollow Star in Eclipse Throne to reveal the Dawnless Threshold.,The Root-Crowned Span is complete. Defeat the Hollow Star in Eclipse Throne to reveal the Dawnless Threshold.,La Campata dalla Corona di Radici è completa. Sconfiggi la Stella Vuota nel Trono dell'Eclissi per rivelare la Soglia Senz'Alba.,"Die Wurzelgekrönte Brücke ist abgeschlossen. Besiege den Hohlen Stern im Finsternisthron, um die Morgenlose Schwelle freizulegen.",L'Arche Couronnée de Racines est terminée. Vaincs l'Étoile creuse dans le Trône de l'éclipse pour révéler le Seuil sans aube.
Umbral Menagerie is now available. Use a flexible party able to answer mixed physical and Magic threats.,Umbral Menagerie is now available. Use a flexible party able to answer mixed physical and Magic threats.,Il Serraglio Umbratile è ora disponibile. Usa un gruppo flessibile in grado di rispondere a minacce fisiche e magiche miste.,"Die Schattenmenagerie ist nun verfügbar. Nutze eine flexible Gruppe, die auf gemischte physische und magische Bedrohungen antworten kann.","La Ménagerie d'ombre est désormais disponible. Utilise un groupe flexible capable de répondre à des menaces mixtes, physiques et magiques."
Veyra's Unswallowed Eye is unique-equipped: one copy per hero.,Veyra's Unswallowed Eye is unique-equipped: one copy per hero.,L'Occhio Non Divorato di Veyra è un accessorio unico: una sola copia equipaggiabile per eroe.,Veyras Unverschlungenes Auge ist einzigartig ausrüstbar: nur ein Exemplar pro Held.,L'Œil non avalé de Veyra est un équipement unique : un seul exemplaire par héros.
"Worldroot Heart is now available. Bring sustain, anti-regeneration, and controlled damage.","Worldroot Heart is now available. Bring sustain, anti-regeneration, and controlled damage.","Il Cuore della Radice del Mondo è ora disponibile. Porta tenuta, strumenti anti-rigenerazione e danni controllati.","Das Weltwurzelherz ist nun verfügbar. Bring Durchhaltevermögen, Mittel gegen Regeneration und kontrollierten Schaden mit.","Le Cœur de la Racine du Monde est désormais disponible. Apporte du soutien, de l'anti-régénération et des dégâts contrôlés."
A Warden's Hand,A Warden's Hand,Una mano del Guardiano,Die Hand eines Wächters,La main d'un Gardien
The Warden Who Would Not Kneel,The Warden Who Would Not Kneel,Il Guardiano che non si è inginocchiato,"Der Wächter, der nicht knien wollte",Le Gardien qui refusa de s'agenouiller
What Is Left of the Warden,What Is Left of the Warden,Ciò che resta del Guardiano,Was vom Wächter übrig ist,Ce qu'il reste du Gardien
An Oath Ground Off the Stone,An Oath Ground Off the Stone,Un giuramento raso dalla pietra,"Ein Eid, vom Stein geschliffen",Un serment effacé de la pierre
Shelters Too Small for Soldiers,Shelters Too Small for Soldiers,Rifugi troppo piccoli per soldati,"Unterstände, zu klein für Soldaten",Des abris trop petits pour des soldats
A Blade Reforged Until It Wasn't One,A Blade Reforged Until It Wasn't One,Una lama riforgiata finché non fu più tale,"Eine Klinge, umgeschmiedet, bis sie keine mehr war",Une lame reforgée jusqu'à ne plus en être une
"A Hundred Lanterns, None of Them Ours","A Hundred Lanterns, None of Them Ours","Cento lanterne, nessuna delle nostre","Hundert Laternen, keine davon unsere","Cent lanternes, aucune des nôtres"
What the Crown Ordered Burned,What the Crown Ordered Burned,Ciò che la Corona ordinò di bruciare,Was die Krone zu verbrennen befahl,Ce que la Couronne ordonna de brûler
Every Road Leads Back Up,Every Road Leads Back Up,Ogni strada riporta quassù,Jede Straße führt wieder hinauf,Toutes les routes ramènent là-haut
You’re in the endgame now.,You’re in the endgame now.,Ora sei nell'endgame.,Du bist jetzt im Endgame.,Tu es maintenant dans l'endgame.
The Throne I Would Not Sit In,The Throne I Would Not Sit In,Il trono su cui non mi sono seduto,"Der Thron, auf den ich mich nicht setzen wollte",Le trône où je n'ai pas voulu m'asseoir
"If You Are Reading This, Keep Climbing","If You Are Reading This, Keep Climbing","Se stai leggendo questo, continua a salire","Wenn du das liest, steig weiter","Si tu lis ceci, continue de monter"
"Commander, the Basalt Oathkeeper had guarded a foundation stone for longer than any living thing you have fought here. Carved into it is an oath, and beneath the oath, a name — ground flat afterward, on purpose, not by weather. Whoever swore it did not want to be found by their own word later. I have seen this kind of erasure only once before: someone breaking rank rather than breaking their promise to people about to be left behind.","Commander, the Basalt Oathkeeper had guarded a foundation stone for longer than any living thing you have fought here. Carved into it is an oath, and beneath the oath, a name — ground flat afterward, on purpose, not by weather. Whoever swore it did not want to be found by their own word later. I have seen this kind of erasure only once before: someone breaking rank rather than breaking their promise to people about to be left behind.","Comandante, il Custode del Giuramento di Basalto custodiva una pietra di fondazione da più tempo di quanto sia vissuta qualunque creatura tu abbia affrontato qui. Vi è inciso un giuramento, e sotto il giuramento un nome — cancellato in seguito, di proposito, non dalle intemperie. Chi lo pronunciò non voleva essere ritrovato dalla propria parola, in seguito. Ho visto questo tipo di cancellazione una sola volta prima d'ora: qualcuno che infrange la disciplina piuttosto che infrangere una promessa fatta a persone sul punto di essere abbandonate.","Kommandant, der Basalt-Eidhüter bewachte einen Grundstein länger, als irgendein lebendes Wesen, das du hier bekämpft hast, je gelebt hat. In ihn ist ein Eid gemeißelt, und unter dem Eid ein Name — später glatt geschliffen, mit Absicht, nicht vom Wetter. Wer ihn schwor, wollte später nicht durch das eigene Wort gefunden werden. Diese Art der Tilgung habe ich erst einmal gesehen: jemand, der aus der Reihe trat, statt sein Versprechen gegenüber Menschen zu brechen, die zurückgelassen werden sollten.","Commandant, le Gardien du serment de basalte veillait sur une pierre de fondation depuis plus longtemps qu'aucune créature que tu aies affrontée ici n'a jamais vécu. Un serment y est gravé, et sous le serment, un nom — effacé ensuite, délibérément, et non par les intempéries. Celui qui l'a prêté ne voulait pas être retrouvé plus tard par sa propre parole. Je n'ai vu ce genre d'effacement qu'une seule fois : quelqu'un qui rompait les rangs plutôt que sa promesse envers des gens sur le point d'être abandonnés."
"Past the Bellwarden, your heroes found a row of shelters built into the flooded stair itself — too small for a garrison, too many for one family. Whoever raised them was not housing an army. The stonework shows two different kinds of care: one for people, one for something with claws that was never made to feel it needed to hide them.","Past the Bellwarden, your heroes found a row of shelters built into the flooded stair itself — too small for a garrison, too many for one family. Whoever raised them was not housing an army. The stonework shows two different kinds of care: one for people, one for something with claws that was never made to feel it needed to hide them.","Oltre il Custode della Campana del Gradino Sommerso, i tuoi eroi hanno trovato una fila di rifugi scavati nella stessa scala allagata — troppo piccoli per una guarnigione, troppi per una sola famiglia. Chi li costruì non stava alloggiando un esercito. La muratura mostra due diversi tipi di cura: una per le persone, l'altra per qualcosa con gli artigli a cui non fu mai fatto sentire il bisogno di nascondersi.","Jenseits des Glockenwächters fanden deine Helden eine Reihe von Unterständen, die in die geflutete Treppe selbst gebaut waren — zu klein für eine Garnison, zu viele für eine einzige Familie. Wer sie errichtete, brachte keine Armee unter. Das Mauerwerk zeigt zwei verschiedene Arten von Sorgfalt: eine für Menschen, eine für etwas mit Klauen, dem man nie das Gefühl gab, es müsse sie verbergen.","Au-delà du Gardien de la cloche, tes héros ont trouvé une rangée d'abris creusés dans l'escalier inondé lui-même — trop petits pour une garnison, trop nombreux pour une seule famille. Ceux qui les ont bâtis ne logeaient pas une armée. La maçonnerie révèle deux formes de soin différentes : l'une pour des gens, l'autre pour quelque chose qui a des griffes et à qui l'on n'a jamais donné le sentiment de devoir les cacher."
