keys,en,it,de,fr
Witchfinder,Witchfinder,Cacciatore di streghe,Hexenjäger,Chasseur de sorcières
"Always +20% Damage, +20 Critical Chance, and +45 Immunity; the whole party gains +30 Healing.","Always +20% Damage, +20 Critical Chance, and +45 Immunity; the whole party gains +30 Healing.","Sempre +20% Danni, +20 Probabilità critica e +45 Immunità; l'intero gruppo ottiene +30 Cure.","Immer +20% Schaden, +20 Kritische Chance und +45 Immunität; die gesamte Gruppe erhält +30 Heilung.","Toujours +20% Dégâts, +20 Chance critique et +45 Immunité ; tout le groupe gagne +30 Soins."
Demon Hunter,Demon Hunter,Cacciatore di demoni,Dämonenjäger,Chasseur de démons
"A relentless purifier who seals hostile powers and specializes in destroying summoned, undead, and corrupted enemies.","A relentless purifier who seals hostile powers and specializes in destroying summoned, undead, and corrupted enemies.","Un purificatore implacabile che sigilla i poteri ostili ed è specializzato nel distruggere nemici evocati, non morti e corrotti.","Ein unerbittlicher Läuterer, der feindliche Kräfte versiegelt und darauf spezialisiert ist, beschworene, untote und verderbte Gegner zu vernichten.","Un purificateur implacable qui scelle les pouvoirs hostiles et se spécialise dans la destruction des ennemis invoqués, morts-vivants et corrompus."
Seal the Profane,Seal the Profane,Sigillo del profano,Siegle das Unheilige,Sceller le profane
Strikes the strongest enemy for +75% bonus damage and silences it for 2 turns.,Strikes the strongest enemy for +75% bonus damage and silences it for 2 turns.,Colpisce il nemico più forte infliggendo +75% danni bonus e lo mette a Silenzio per 2 turni.,Trifft den stärksten Gegner mit +75% Bonusschaden und belegt ihn 2 Züge lang mit Stille.,Frappe l'ennemi le plus fort avec +75% de dégâts bonus et le frappe de Silence pendant 2 tours.
Relentless Purity,Relentless Purity,Purezza implacabile,Unerbittliche Reinheit,Pureté implacable
"Always +20% Damage, +45 Immunity, and +33 Healing. Resisting a harmful status grants +45% Damage for 3 turns.","Always +20% Damage, +45 Immunity, and +33 Healing. Resisting a harmful status grants +45% Damage for 3 turns.","Sempre +20% Danni, +45 Immunità e +33 Cure. Resistere a uno stato nocivo concede +45% Danni per 3 turni.","Immer +20% Schaden, +45 Immunität und +33 Heilung. Das Widerstehen eines schädlichen Status gewährt +45% Schaden für 3 Züge.","Toujours +20% Dégâts, +45 Immunité et +33 Soins. Résister à un statut néfaste accorde +45% Dégâts pendant 3 tours."
Mage,Mage,Mago,Magier,Mage
"A fragile spellcaster who spends mana to deal area damage, alter the battlefield, and control groups of enemies.","A fragile spellcaster who spends mana to deal area damage, alter the battlefield, and control groups of enemies.","Un fragile incantatore che consuma mana per infliggere danni ad area, alterare il campo di battaglia e controllare gruppi di nemici.","Ein zerbrechlicher Zauberer, der Mana einsetzt, um Flächenschaden zu verursachen, das Schlachtfeld zu verändern und Gegnergruppen zu kontrollieren.","Un lanceur de sorts fragile qui dépense du mana pour infliger des dégâts de zone, altérer le champ de bataille et contrôler des groupes d'ennemis."
Arcane Burst,Arcane Burst,Esplosione arcana,Arkaner Ausbruch,Explosion arcanique
"Blasts every enemy, dealing an extra +55% damage to the primary target.","Blasts every enemy, dealing an extra +55% damage to the primary target.","Colpisce tutti i nemici, infliggendo un ulteriore +55% di danni al bersaglio principale.",Trifft jeden Gegner und fügt dem Hauptziel +55% zusätzlichen Schaden zu.,"Frappe chaque ennemi, infligeant +55% de dégâts supplémentaires à la cible principale."
Mana Attunement,Mana Attunement,Sintonia del mana,Mana-Einklang,Harmonie du mana
+70% Damage while mana is 50 or higher; casting the active skill restores 24 mana.,+70% Damage while mana is 50 or higher; casting the active skill restores 24 mana.,+70% Danni quando il mana è 50 o superiore; lanciare l'abilità attiva ripristina 24 mana.,"+70% Schaden, solange das Mana 50 oder höher ist; der Einsatz der aktiven Fähigkeit stellt 24 Mana wieder her.",+70% Dégâts tant que le mana est à 50 ou plus ; lancer la compétence active restaure 24 mana.
Elementalist,Elementalist,Elementalista,Elementarist,Élémentaliste
"An offensive caster who combines fire, frost, lightning, and earth to exploit weaknesses and create reactions.","An offensive caster who combines fire, frost, lightning, and earth to exploit weaknesses and create reactions.","Un incantatore offensivo che combina fuoco, gelo, fulmine e terra per sfruttare le debolezze e creare reazioni.","Ein offensiver Zauberer, der Feuer, Frost, Blitz und Erde verbindet, um Schwächen auszunutzen und Reaktionen auszulösen.","Un lanceur de sorts offensif qui combine feu, givre, foudre et terre pour exploiter les faiblesses et provoquer des réactions."
Elemental Convergence,Elemental Convergence,Convergenza elementale,Elementare Konvergenz,Convergence élémentaire
"Blasts every enemy with 12% Attack DoT for 2 turns, plus a random Attack Down 15%, Evade Down 15%, or Vulnerability 12% (2 turns) on each.","Blasts every enemy with 12% Attack DoT for 2 turns, plus a random Attack Down 15%, Evade Down 15%, or Vulnerability 12% (2 turns) on each.","Colpisce tutti i nemici con il 12% dell'Attacco come DoT per 2 turni, più un effetto casuale tra Attacco ridotto 15%, Schivata ridotta 15% o Vulnerabilità 12% (2 turni) su ciascuno.","Trifft jeden Gegner 2 Züge lang mit 12% Angriff als DoT, dazu bei jedem zufällig Angriff verringert 15%, Ausweichen verringert 15% oder Verwundbarkeit 12% (2 Züge).","Frappe chaque ennemi avec 12% Attaque en DoT pendant 2 tours, plus au hasard sur chacun Attaque réduite 15%, Esquive réduite 15% ou Vulnérabilité 12% (2 tours)."
Reactive Elements,Reactive Elements,Elementi reattivi,Reaktive Elemente,Éléments réactifs
"+60% Damage against any enemy with a harmful status active, and +35% Damage while mana is 50 or higher.","+60% Damage against any enemy with a harmful status active, and +35% Damage while mana is 50 or higher.",+60% Danni contro qualsiasi nemico con uno stato nocivo attivo e +35% Danni quando il mana è 50 o superiore.,"+60% Schaden gegen jeden Gegner mit einem aktiven schädlichen Status und +35% Schaden, solange das Mana 50 oder höher ist.","+60% Dégâts contre tout ennemi subissant un statut néfaste actif, et +35% Dégâts tant que le mana est à 50 ou plus."
Archon,Archon,Arconte,Archon,Archonte
A living conduit of elemental power who reshapes large areas and chains multiple elements into catastrophic spells.,A living conduit of elemental power who reshapes large areas and chains multiple elements into catastrophic spells.,Un condotto vivente di potere elementale che rimodella vaste aree e concatena più elementi in incantesimi catastrofici.,"Ein lebendiger Kanal elementarer Macht, der weite Gebiete umformt und mehrere Elemente zu katastrophalen Zaubern verkettet.",Un conduit vivant du pouvoir élémentaire qui remodèle de vastes zones et enchaîne plusieurs éléments en sorts catastrophiques.
Cataclysmic Convergence,Cataclysmic Convergence,Convergenza cataclismatica,Kataklysmische Konvergenz,Convergence cataclysmique
"Blasts every enemy, applies 10% Vulnerability for 3 turns, and restores 8 mana to the party.","Blasts every enemy, applies 10% Vulnerability for 3 turns, and restores 8 mana to the party.","Colpisce tutti i nemici, applica il 10% di Vulnerabilità per 3 turni e ripristina 8 mana al gruppo.","Trifft jeden Gegner, wendet 3 Züge lang 10% Verwundbarkeit an und stellt der Gruppe 8 Mana wieder her.","Frappe chaque ennemi, applique 10% de Vulnérabilité pendant 3 tours et restaure 8 mana au groupe."
Living Conduit,Living Conduit,Condotto vivente,Lebendiger Kanal,Conduit vivant
The whole party always gains +15 Critical Chance. The Archon's critical hits apply 20% Vulnerability to the target for 3 turns and restore 18 mana.,The whole party always gains +15 Critical Chance. The Archon's critical hits apply 20% Vulnerability to the target for 3 turns and restore 18 mana.,L'intero gruppo ottiene sempre +15 Probabilità critica. I colpi critici dell'Arconte applicano il 20% di Vulnerabilità al bersaglio per 3 turni e ripristinano 18 mana.,Die gesamte Gruppe erhält immer +15 Kritische Chance. Die kritischen Treffer des Archon belegen das Ziel 3 Züge lang mit 20% Verwundbarkeit und stellen 18 Mana wieder her.,Tout le groupe gagne toujours +15 Chance critique. Les coups critiques de l'Archonte appliquent 20% de Vulnérabilité à la cible pendant 3 tours et restaurent 18 mana.
Arcanist,Arcanist,Arcanista,Arkanist,Arcaniste
"A technical mage who manipulates raw magic through barriers, teleportation, interruption, and spell amplification.","A technical mage who manipulates raw magic through barriers, teleportation, interruption, and spell amplification.","Un mago tecnico che manipola la magia grezza tramite barriere, teletrasporto, interruzioni e amplificazione degli incantesimi.","Ein technischer Magier, der rohe Magie durch Barrieren, Teleportation, Unterbrechung und Zauberverstärkung lenkt.","Un mage technique qui manipule la magie brute par des barrières, la téléportation, l'interruption et l'amplification des sorts."
Spellbreak,Spellbreak,Spezzaincantesimi,Zauberbruch,Brise-sort
"Strikes the strongest enemy, silences it for 2 turns, and refunds 30 mana.","Strikes the strongest enemy, silences it for 2 turns, and refunds 30 mana.","Colpisce il nemico più forte, lo mette a Silenzio per 2 turni e recupera 30 mana.","Trifft den stärksten Gegner, belegt ihn 2 Züge lang mit Stille und erstattet 30 Mana.","Frappe l'ennemi le plus fort, le frappe de Silence pendant 2 tours et rembourse 30 mana."
Arcane Geometry,Arcane Geometry,Geometria arcana,Arkane Geometrie,Géométrie arcanique
+295% Damage against enemies affected by Silence; each critical hit restores 24 mana.,+295% Damage against enemies affected by Silence; each critical hit restores 24 mana.,+295% Danni contro i nemici sotto effetto di Silenzio; ogni colpo critico ripristina 24 mana.,"+295% Schaden gegen Gegner, die mit Stille belegt sind; jeder kritische Treffer stellt 24 Mana wieder her.",+295% Dégâts contre les ennemis frappés de Silence ; chaque coup critique restaure 24 mana.
Grand Magus,Grand Magus,Gran mago,Großmagus,Grand mage
"A master of pure sorcery who rewrites the rules of combat by altering range, cost, timing, and magical effects.","A master of pure sorcery who rewrites the rules of combat by altering range, cost, timing, and magical effects.","Un maestro della stregoneria pura che riscrive le regole del combattimento alterando gittata, costo, tempismo ed effetti magici.","Ein Meister reiner Zauberei, der die Regeln des Kampfes neu schreibt, indem er Reichweite, Kosten, Zeitpunkt und magische Wirkungen verändert.","Un maître de la sorcellerie pure qui réécrit les règles du combat en modifiant la portée, le coût, le moment et les effets magiques."
Rewrite Reality,Rewrite Reality,Riscrittura della realtà,Wirklichkeit umschreiben,Réécrire la réalité
"Applies 8% Vulnerability and one random element to every enemy for 3 turns: -15% Attack, 12% Vulnerability, or -15 Evade. Restores 20 mana to every ally and refunds 25 mana to the Grand Magus.","Applies 8% Vulnerability and one random element to every enemy for 3 turns: -15% Attack, 12% Vulnerability, or -15 Evade. Restores 20 mana to every ally and refunds 25 mana to the Grand Magus.","Applica l'8% di Vulnerabilità e un elemento casuale a ogni nemico per 3 turni: -15% Attacco, 12% Vulnerabilità o -15 Schivata. Ripristina 20 mana a ogni alleato e ne recupera 25 per il Gran mago.","Belegt jeden Gegner 3 Züge lang mit 8% Verwundbarkeit und einem zufälligen Element: -15% Angriff, 12% Verwundbarkeit oder -15 Ausweichen. Stellt jedem Verbündeten 20 Mana wieder her und erstattet dem Großmagus 25 Mana.","Applique 8% de Vulnérabilité et un élément aléatoire à chaque ennemi pendant 3 tours : -15% Attaque, 12% Vulnérabilité ou -15 Esquive. Restaure 20 mana à chaque allié et rembourse 25 mana au Grand mage."
Mastery of the Weave,Mastery of the Weave,Maestria della Trama,Meisterschaft des Gewebes,Maîtrise de la Trame
"Always +25% Damage, and +100% Damage while mana is 50 or higher. Any allied critical hit restores 8 mana to the Grand Magus.","Always +25% Damage, and +100% Damage while mana is 50 or higher. Any allied critical hit restores 8 mana to the Grand Magus.",Sempre +25% Danni e +100% Danni quando il mana è 50 o superiore. Ogni colpo critico alleato ripristina 8 mana al Gran mago.,"Immer +25% Schaden und +100% Schaden, solange das Mana 50 oder höher ist. Jeder kritische Treffer eines Verbündeten stellt dem Großmagus 8 Mana wieder her.","Toujours +25% Dégâts, et +100% Dégâts tant que le mana est à 50 ou plus. Tout coup critique allié restaure 8 mana au Grand mage."
Bard,Bard,Bardo,Barde,Barde
"A charismatic support hero who maintains performances that strengthen allies, weaken enemies, and shape party morale.","A charismatic support hero who maintains performances that strengthen allies, weaken enemies, and shape party morale.","Un carismatico eroe di supporto che mantiene esibizioni capaci di rafforzare gli alleati, indebolire i nemici e plasmare il morale del gruppo.","Ein charismatischer Unterstützungsheld, der Darbietungen aufrechterhält, die Verbündete stärken, Gegner schwächen und die Moral der Gruppe formen.","Un héros de soutien charismatique qui entretient des prestations renforçant les alliés, affaiblissant les ennemis et façonnant le moral du groupe."
Rallying Verse,Rallying Verse,Strofa incitante,Sammelnde Strophe,Vers de ralliement
Heals the whole party and grants +24% Damage for 3 turns.,Heals the whole party and grants +24% Damage for 3 turns.,Cura l'intero gruppo e concede +24% Danni per 3 turni.,Heilt die gesamte Gruppe und gewährt +24% Schaden für 3 Züge.,Soigne tout le groupe et accorde +24% Dégâts pendant 3 tours.
Sustained Performance,Sustained Performance,Esibizione incessante,Anhaltende Darbietung,Prestation soutenue
"The party always gains +6% Damage; the Bard gains +15 Critical Chance. Casting the active skill restores 26 mana. After every action, Restorative Refrain splits a heal between 2 wounded allies.","The party always gains +6% Damage; the Bard gains +15 Critical Chance. Casting the active skill restores 26 mana. After every action, Restorative Refrain splits a heal between 2 wounded allies.","Il gruppo ottiene sempre +6% Danni; il Bardo ottiene +15 Probabilità critica. Lanciare l'abilità attiva ripristina 26 mana. Dopo ogni azione, Ritornello ristoratore divide una cura tra 2 alleati feriti.",Die Gruppe erhält immer +6% Schaden; der Barde erhält +15 Kritische Chance. Der Einsatz der aktiven Fähigkeit stellt 26 Mana wieder her. Nach jeder Aktion verteilt Heilender Refrain eine Heilung auf 2 verwundete Verbündete.,"Le groupe gagne toujours +6% Dégâts ; le Barde gagne +15 Chance critique. Lancer la compétence active restaure 26 mana. Après chaque action, Refrain réparateur répartit un soin entre 2 alliés blessés."
Minstrel,Minstrel,Menestrello,Spielmann,Ménestrel
"An inspiring performer who sustains healing melodies, resource recovery, and long-lasting party enhancements.","An inspiring performer who sustains healing melodies, resource recovery, and long-lasting party enhancements.","Un artista ispiratore che mantiene melodie curative, recupero delle risorse e potenziamenti duraturi per il gruppo.","Ein inspirierender Künstler, der heilende Melodien, Ressourcenrückgewinnung und lang anhaltende Verstärkungen für die Gruppe aufrechterhält.","Un artiste inspirant qui entretient des mélodies curatives, la récupération des ressources et des améliorations durables pour le groupe."
Ballad of Renewal,Ballad of Renewal,Ballata del rinnovamento,Ballade der Erneuerung,Ballade du renouveau
"Heals the whole party, restores 15 mana to everyone, then applies Regeneration (40% Attack per turn) for 4 turns.","Heals the whole party, restores 15 mana to everyone, then applies Regeneration (40% Attack per turn) for 4 turns.","Cura l'intero gruppo, ripristina 15 mana a tutti, poi applica Rigenerazione (40% dell'Attacco a turno) per 4 turni.","Heilt die gesamte Gruppe, stellt allen 15 Mana wieder her und wendet dann 4 Züge lang Regeneration (40% Angriff pro Zug) an.","Soigne tout le groupe, restaure 15 mana à chacun, puis applique une Régénération (40% Attaque par tour) pendant 4 tours."
Gentle Refrain,Gentle Refrain,Ritornello gentile,Sanfter Refrain,Refrain doux
"Always +40 Healing; the party gains +8 Healing and +4 Critical Chance, and every heal performed restores 20 mana. After every action, Threefold Ballad splits a 3-pulse heal between 2 wounded allies.","Always +40 Healing; the party gains +8 Healing and +4 Critical Chance, and every heal performed restores 20 mana. After every action, Threefold Ballad splits a 3-pulse heal between 2 wounded allies.","Sempre +40 Cure; il gruppo ottiene +8 Cure e +4 Probabilità critica e ogni cura effettuata ripristina 20 mana. Dopo ogni azione, Ballata triplice divide una cura in 3 impulsi tra 2 alleati feriti.","Immer +40 Heilung; die Gruppe erhält +8 Heilung und +4 Kritische Chance, und jede gewirkte Heilung stellt 20 Mana wieder her. Nach jeder Aktion verteilt Dreifache Ballade eine Heilung in 3 Impulsen auf 2 verwundete Verbündete.","Toujours +40 Soins ; le groupe gagne +8 Soins et +4 Chance critique, et chaque soin prodigué restaure 20 mana. Après chaque action, Ballade triple répartit un soin en 3 impulsions entre 2 alliés blessés."
Virtuoso,Virtuoso,Virtuoso,Virtuose,Virtuose
A brilliant artist who layers several performances at once and transforms party coordination into overwhelming tempo.,A brilliant artist who layers several performances at once and transforms party coordination into overwhelming tempo.,Un artista brillante che sovrappone più esibizioni e trasforma la coordinazione del gruppo in un ritmo travolgente.,"Ein brillanter Künstler, der mehrere Darbietungen zugleich überlagert und die Abstimmung der Gruppe in überwältigendes Tempo verwandelt.",Un artiste brillant qui superpose plusieurs prestations et transforme la coordination du groupe en un tempo écrasant.
Grand Crescendo,Grand Crescendo,Gran crescendo,Großes Crescendo,Grand crescendo
"Heals the whole party, restores 20 mana to everyone, then grants +26% Damage, +12 Defense, and +12 Magic Defense for 4 turns.","Heals the whole party, restores 20 mana to everyone, then grants +26% Damage, +12 Defense, and +12 Magic Defense for 4 turns.","Cura l'intero gruppo, ripristina 20 mana a tutti, poi concede +26% Danni, +12 Difesa e +12 Difesa magica per 4 turni.","Heilt die gesamte Gruppe, stellt allen 20 Mana wieder her und gewährt dann +26% Schaden, +12 Verteidigung und +12 Magieverteidigung für 4 Züge.","Soigne tout le groupe, restaure 20 mana à chacun, puis accorde +26% Dégâts, +12 Défense et +12 Défense magique pendant 4 tours."
Polyphonic Mastery,Polyphonic Mastery,Maestria polifonica,Polyphone Meisterschaft,Maîtrise polyphonique
"The whole party always gains +9% Damage and +14 Immunity. Any allied critical hit restores 40 mana to the Virtuoso. After every action, Grand Healing Chorus splits a heal between 3 wounded allies.","The whole party always gains +9% Damage and +14 Immunity. Any allied critical hit restores 40 mana to the Virtuoso. After every action, Grand Healing Chorus splits a heal between 3 wounded allies.","L'intero gruppo ottiene sempre +9% Danni e +14 Immunità. Ogni colpo critico alleato ripristina 40 mana al Virtuoso. Dopo ogni azione, Gran coro curativo divide una cura fra 3 alleati feriti.",Die gesamte Gruppe erhält immer +9% Schaden und +14 Immunität. Jeder kritische Treffer eines Verbündeten stellt dem Virtuosen 40 Mana wieder her. Nach jeder Aktion verteilt Großer Heilchor eine Heilung auf 3 verwundete Verbündete.,"Tout le groupe gagne toujours +9% Dégâts et +14 Immunité. Tout coup critique allié restaure 40 mana au Virtuose. Après chaque action, Grand chœur de soins répartit un soin entre 3 alliés blessés."
Skald,Skald,Scaldo,Skalde,Scalde
"A martial storyteller whose battle chants improve offense, courage, and resistance while pressuring nearby enemies.","A martial storyteller whose battle chants improve offense, courage, and resistance while pressuring nearby enemies.","Un cantastorie guerriero i cui canti di battaglia migliorano attacco, coraggio e resistenza, mettendo sotto pressione i nemici vicini.","Ein kriegerischer Geschichtenerzähler, dessen Schlachtgesänge Angriff, Mut und Widerstandskraft steigern und nahe Gegner unter Druck setzen.","Un conteur guerrier dont les chants de bataille améliorent l'attaque, le courage et la résistance tout en mettant sous pression les ennemis proches."
War Cry Saga,War Cry Saga,Saga del grido di guerra,Schlachtruf-Saga,Saga du cri de guerre
"Grants the whole party +17% Damage and +14 Immunity for 3 turns, and restores 17 mana to every ally.","Grants the whole party +17% Damage and +14 Immunity for 3 turns, and restores 17 mana to every ally.",Concede all'intero gruppo +17% Danni e +14 Immunità per 3 turni e ripristina 17 mana a ogni alleato.,Gewährt der gesamten Gruppe 3 Züge lang +17% Schaden und +14 Immunität und stellt jedem Verbündeten 17 Mana wieder her.,"Accorde à tout le groupe +17% Dégâts et +14 Immunité pendant 3 tours, et restaure 17 mana à chaque allié."
Heroic Meter,Heroic Meter,Ritmo eroico,Heldenmaß,Mesure héroïque
The party always gains +7% Damage; the Skald gains +8% Damage and +14 Critical Chance. Each of the Skald's critical hits restores 30 mana.,The party always gains +7% Damage; the Skald gains +8% Damage and +14 Critical Chance. Each of the Skald's critical hits restores 30 mana.,Il gruppo ottiene sempre +7% Danni; lo Scaldo ottiene +8% Danni e +14 Probabilità critica. Ogni colpo critico dello Scaldo ripristina 30 mana.,Die Gruppe erhält immer +7% Schaden; der Skalde erhält +8% Schaden und +14 Kritische Chance. Jeder kritische Treffer des Skalden stellt 30 Mana wieder her.,Le groupe gagne toujours +7% Dégâts ; le Scalde gagne +8% Dégâts et +14 Chance critique. Chaque coup critique du Scalde restaure 30 mana.
War Chanter,War Chanter,Cantore di guerra,Kriegssänger,Chantre de guerre
A commanding voice on the battlefield who drives allies into heroic action and breaks the resolve of enemy formations.,A commanding voice on the battlefield who drives allies into heroic action and breaks the resolve of enemy formations.,Una voce imperiosa sul campo di battaglia che spinge gli alleati ad azioni eroiche e spezza la determinazione delle formazioni nemiche.,"Eine gebieterische Stimme auf dem Schlachtfeld, die Verbündete zu heldenhaften Taten treibt und die Entschlossenheit feindlicher Formationen bricht.",Une voix impérieuse sur le champ de bataille qui pousse les alliés à l'héroïsme et brise la détermination des formations ennemies.
Commanding Chorus,Commanding Chorus,Coro imperioso,Gebieterischer Chor,Chœur impérieux
"Grants the whole party +16% Damage and +9 Critical Chance for 3 turns, applies -3% Attack to every enemy, and restores 18 mana to every ally.","Grants the whole party +16% Damage and +9 Critical Chance for 3 turns, applies -3% Attack to every enemy, and restores 18 mana to every ally.","Concede all'intero gruppo +16% Danni e +9 Probabilità critica per 3 turni, applica -3% Attacco a ogni nemico e ripristina 18 mana a ogni alleato.","Gewährt der gesamten Gruppe 3 Züge lang +16% Schaden und +9 Kritische Chance, wendet bei jedem Gegner -3% Angriff an und stellt jedem Verbündeten 18 Mana wieder her.","Accorde à tout le groupe +16% Dégâts et +9 Chance critique pendant 3 tours, applique -3% Attaque à chaque ennemi et restaure 18 mana à chaque allié."
Unbroken Cadence,Unbroken Cadence,Cadenza ininterrotta,Ungebrochene Kadenz,Cadence ininterrompue
"The whole party always gains +8% Damage and +5 Critical Chance. Each enemy an ally defeats gives the War Chanter alone +5% Damage (Momentum, up to +25%) for the rest of the battle.","The whole party always gains +8% Damage and +5 Critical Chance. Each enemy an ally defeats gives the War Chanter alone +5% Damage (Momentum, up to +25%) for the rest of the battle.","L'intero gruppo ottiene sempre +8% Danni e +5 Probabilità critica. Ogni nemico sconfitto da un alleato concede solo al Cantore di guerra +5% Danni (Slancio, fino a +25%) per il resto della battaglia.","Die gesamte Gruppe erhält immer +8% Schaden und +5 Kritische Chance. Jeder von einem Verbündeten besiegte Gegner gibt allein dem Kriegssänger +5% Schaden (Schwung, bis +25%) für den Rest des Kampfes.","Tout le groupe gagne toujours +8% Dégâts et +5 Chance critique. Chaque ennemi vaincu par un allié accorde au seul Chantre de guerre +5% Dégâts (Élan, jusqu'à +25%) pour le reste du combat."
Engineer,Engineer,Ingegnere,Ingenieur,Ingénieur
"A tactical specialist who deploys devices, traps, and consumable inventions to prepare and control the battlefield.","A tactical specialist who deploys devices, traps, and consumable inventions to prepare and control the battlefield.","Uno specialista tattico che schiera dispositivi, trappole e invenzioni consumabili per preparare e controllare il campo di battaglia.","Ein taktischer Spezialist, der Geräte, Fallen und verbrauchbare Erfindungen auslegt, um das Schlachtfeld vorzubereiten und zu beherrschen.","Un spécialiste tactique qui déploie appareils, pièges et inventions consommables pour préparer et contrôler le champ de bataille."
Bulwark Device,Bulwark Device,Dispositivo baluardo,Bollwerk-Vorrichtung,Dispositif de rempart
"Strikes a random enemy for -15% Attack for 3 turns, then shields the whole party (10% max HP, until broken).","Strikes a random enemy for -15% Attack for 3 turns, then shields the whole party (10% max HP, until broken).","Colpisce un nemico casuale infliggendo -15% Attacco per 3 turni, poi protegge l'intero gruppo con una barriera (10% dei PV massimi, finché non viene infranta).","Trifft einen zufälligen Gegner mit -15% Angriff für 3 Züge und schützt dann die gesamte Gruppe (10% der maximalen LP, bis sie bricht).","Frappe un ennemi au hasard en lui infligeant -15% Attaque pendant 3 tours, puis protège tout le groupe (10% des PV max, jusqu'à ce qu'elle soit brisée)."
Field Fortification,Field Fortification,Fortificazione da campo,Feldbefestigung,Fortification de campagne
Always +5 Defense and +10% Damage; gains an 8% max HP barrier at the start of each wave.,Always +5 Defense and +10% Damage; gains an 8% max HP barrier at the start of each wave.,Sempre +5 Difesa e +10% Danni; ottiene una barriera dell'8% dei PV massimi all'inizio di ogni ondata.,Immer +5 Verteidigung und +10% Schaden; erhält zu Beginn jeder Welle eine Barriere von 8% der maximalen LP.,Toujours +5 Défense et +10% Dégâts ; gagne une barrière de 8% des PV max au début de chaque vague.
Artificer,Artificer,Artefice,Konstrukteur,Artificier
"A magical inventor who equips allies with enchanted devices, protective constructs, and adaptable utility tools.","A magical inventor who equips allies with enchanted devices, protective constructs, and adaptable utility tools.","Un inventore magico che equipaggia gli alleati con dispositivi incantati, costrutti protettivi e versatili strumenti di supporto.","Ein magischer Erfinder, der Verbündete mit verzauberten Geräten, schützenden Konstrukten und vielseitigen Hilfsmitteln ausstattet.","Un inventeur magique qui équipe les alliés d'appareils enchantés, de constructions protectrices et d'outils polyvalents."
Enchant Armament,Enchant Armament,Incanta armamento,Bewaffnung verzaubern,Enchanter l'armement
"Grants the strongest ally +68% Damage, +24 Critical Chance, and +6 Defense for 3 turns, plus a barrier worth 10% of their maximum Health until broken.","Grants the strongest ally +68% Damage, +24 Critical Chance, and +6 Defense for 3 turns, plus a barrier worth 10% of their maximum Health until broken.","Concede all'alleato più forte +68% Danni, +24 Probabilità critica e +6 Difesa per 3 turni, più una barriera pari al 10% dei suoi PV massimi finché non viene infranta.","Gewährt dem stärksten Verbündeten +68% Schaden, +24 Kritische Chance und +6 Verteidigung für 3 Züge sowie eine Barriere von 10% seiner maximalen LP, bis sie bricht.","Accorde à l'allié le plus fort +68% Dégâts, +24 Chance critique et +6 Défense pendant 3 tours, plus une barrière de 10% de ses PV max jusqu'à ce qu'elle soit brisée."
Adaptive Infusion,Adaptive Infusion,Infusione adattiva,Anpassungsinfusion,Infusion adaptative
The party always gains +5% Damage; the Artificer gains +8% Damage and +15 Critical Chance. Casting the active skill grants a barrier worth 12% of maximum Health.,The party always gains +5% Damage; the Artificer gains +8% Damage and +15 Critical Chance. Casting the active skill grants a barrier worth 12% of maximum Health.,Il gruppo ottiene sempre +5% Danni; l'Artefice ottiene +8% Danni e +15 Probabilità critica. Lanciare l'abilità attiva concede una barriera pari al 12% dei PV massimi.,Die Gruppe erhält immer +5% Schaden; der Konstrukteur erhält +8% Schaden und +15 Kritische Chance. Der Einsatz der aktiven Fähigkeit gewährt eine Barriere von 12% der maximalen LP.,Le groupe gagne toujours +5% Dégâts ; l'Artificier gagne +8% Dégâts et +15 Chance critique. Lancer la compétence active accorde une barrière de 12% des PV max.
Master Artificer,Master Artificer,Maestro artefice,Meister-Artifex,Maître artificier
A visionary creator whose autonomous constructs and legendary equipment can redefine the party's capabilities.,A visionary creator whose autonomous constructs and legendary equipment can redefine the party's capabilities.,Un creatore visionario i cui costrutti autonomi ed equipaggiamenti leggendari possono ridefinire le capacità del gruppo.,"Ein visionärer Schöpfer, dessen selbstständige Konstrukte und legendäre Ausrüstung die Fähigkeiten der Gruppe neu definieren können.",Un créateur visionnaire dont les constructions autonomes et l'équipement légendaire peuvent redéfinir les capacités du groupe.
Renewal Armament,Renewal Armament,Armamento del rinnovamento,Erneuerungsbewaffnung,Armement du renouveau
"Strikes every enemy, shields the party (15% max HP, until broken), then applies Regeneration (25% Attack per turn) to the party for 4 turns.","Strikes every enemy, shields the party (15% max HP, until broken), then applies Regeneration (25% Attack per turn) to the party for 4 turns.","Colpisce tutti i nemici, protegge il gruppo con una barriera (15% dei PV massimi, finché non viene infranta), poi applica al gruppo Rigenerazione (25% dell'Attacco a turno) per 4 turni.","Trifft jeden Gegner, schützt die Gruppe (15% der maximalen LP, bis sie bricht) und wendet dann 4 Züge lang Regeneration (25% Angriff pro Zug) auf die Gruppe an.","Frappe chaque ennemi, protège le groupe (15% des PV max, jusqu'à ce qu'elle soit brisée), puis applique une Régénération (25% Attaque par tour) au groupe pendant 4 tours."
Masterwork Renewal,Masterwork Renewal,Rinnovamento magistrale,Meisterhafte Erneuerung,Renouveau magistral
